"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Publisher","Document Type","Source"
"Postrioti L.; Buitoni G.; Pesce F.C.; Ciaravino C.","Postrioti, Lucio (55185457800); Buitoni, Giacomo (55814896400); Pesce, Francesco C. (36119239900); Ciaravino, Claudio (36658942600)","55185457800; 55814896400; 36119239900; 36658942600","Zeuch method-based injection rate analysis of a common-rail system operated with advanced injection strategies","2014","Fuel","83","10.1016/j.fuel.2014.03.006","https://www.scopus.com/pages/publications/84897456044?origin=resultslist","Dipartimento di Ingegneria, Università di Perugia, Italy; General Motors Powertrain Europe, Italy","Postrioti L., Dipartimento di Ingegneria, Università di Perugia, Italy; Buitoni G., Dipartimento di Ingegneria, Università di Perugia, Italy; Pesce F.C., General Motors Powertrain Europe, Italy; Ciaravino C., General Motors Powertrain Europe, Italy","In the present paper the results of an experimental hydraulic analysis of a common rail injection system are discussed. A complete wet system, composed of an automotive injection pump, a rail and a Bosch CRI2.16 injector, is analyzed in realistic operating conditions. The hydraulic analysis is carried out by a Zeuch method-based instrument which is used to measure the injected volume and the injection rate; both these quantities are obtained in mean terms and shot-to-shot resolved in order to investigate the system operation dispersion. The injection rate measurement is supplemented by both the rail pressure and the needle movement measurements to better analyze the injector behavior. Some different advanced injector driving strategies are analyzed, focusing on reduced dwell time operation conditions. Peculiar attention is devoted to the injection process start detection, which is of special interest in case of multiple injections. An accurate analysis of the injection rate time-history suggests that in the initial part of the process the flow is directed toward the injector nozzle (negative flow) and only after a short time the injection rate profile becomes positive, apparently indicating the start of the injection process. In order to define a proper start time detection criterion, the results of the hydraulic analysis were compared with the spray evolution analysis based on imaging carried out by an ensemble-averaged approach. This comparison suggested that the injection start can be derived by the hydraulic analysis: the outflow onset is generally synchronized with the first positive values of the injected volume, computed as the time integral of the injection rate profile. © 2014 Elsevier Ltd. All rights reserved.","Advanced injection strategies; Injection rate measurement; Injection start detection","Combustion; Advanced injection strategies; Common rail injection system; Evolution analysis; Hydraulic analysis; Injection rates; Multiple injections; Operating condition; Operation conditions; Fuels","","","Elsevier Ltd","Article","Scopus"
"Sanders W.H.","Sanders, William H. (35602407400)","35602407400","Quantitative security metrics: Unattainable holy grail or a vital breakthrough within our reach?","2014","IEEE Security and Privacy","23","10.1109/MSP.2014.31","https://www.scopus.com/pages/publications/84899540969?origin=resultslist","University of Illinois at Urbana-Champaign, United States","Sanders W.H., University of Illinois at Urbana-Champaign, United States","It's long been well understood that you can calculate useful estimations of systems' reliability against accidental failure. It's also well understood that trying to calculate systems' level of security against possibly intelligent, determined, well-funded, and creative adversaries is a far greater challenge. Nevertheless, even a less-than-perfect predictive capacity, if its limitations are respected, is clearly better than none at all. Without promising perfection, such a capacity would offer crucial support to decision making that impacts system security. © 2014 IEEE.","Computer security; Quantitative security metrics; Risk management; Security metrics; Trustworthy computing","Security of data; Predictive capacity; Security metrics; System security; Trustworthy computing; Risk management","","","Institute of Electrical and Electronics Engineers Inc.","Article","Scopus"
"Hu G.-R.; Zhang X.-L.; Peng Z.-D.","Hu, Guo-Rong (8077440400); Zhang, Xin-Long (34975016600); Peng, Zhong-Dong (8077440600)","8077440400; 34975016600; 8077440600","Preparation and electrochemical performance of tantalum-doped lithium titanate as anode material for lithium-ion battery","2011","Transactions of Nonferrous Metals Society of China (English Edition)","26","10.1016/S1003-6326(11)61003-0","https://www.scopus.com/pages/publications/81055144844?origin=resultslist","School of Metallurgical Science and Engineering, Central South University, Changsha 410083, China","Hu G.-R., School of Metallurgical Science and Engineering, Central South University, Changsha 410083, China; Zhang X.-L., School of Metallurgical Science and Engineering, Central South University, Changsha 410083, China; Peng Z.-D., School of Metallurgical Science and Engineering, Central South University, Changsha 410083, China","The electrochemical performance of Ta-doped Li4Ti 5O12 in the form of Li4Ti4.95Ta 0.05O12 was characterized. X-ray diffraction (XRD) and scanning electron microscopy (SEM) were employed to characterize the structure and morphology of Li4Ti4.95Ta0.05O 12. Ta-doping does not change the phase composition and particle morphology, while improves remarkably its cycling stability at high charge/discharge rate. Li4Ti4.95Ta0.05O 12 exhibits an excellent rate capability with a reversible capacity of 116.1 mA·h/g at 10C and even 91.0 mA·h/g at 30C. The substitution of Ta for Ti site can enhance the electronic conductivity of Li4Ti5O12 via the generation of mixing Ti 4+/Ti3+, which indicates that Li4Ti 4.95Ta0.05O12 is a promising candidate material for anodes in lithium-ion battery application. © 2011 The Nonferrous Metals Society of China.","anode material; doping; lithium titanate; lithium-ion battery","Anodes; Doping (additives); Ions; Lithium alloys; Lithium batteries; Morphology; Scanning electron microscopy; Tantalum; X ray diffraction; Anode material; Candidate materials; Charge/discharge; Cycling stability; Electrochemical performance; Electronic conductivity; lithium titanate; Lithium-ion battery; Particle morphologies; Rate capabilities; Reversible capacity; Structure and morphology; Lithium","","","","Article","Scopus"
"Nicol D.M.; Sanders W.H.; Singh S.; Seri M.","Nicol, David M. (7102659271); Sanders, William H. (35602407400); Singh, Sankalp (56175888700); Seri, Mouna (7005984570)","7102659271; 35602407400; 56175888700; 7005984570","Usable global network access policy for process control systems","2008","IEEE Security and Privacy","27","10.1109/MSP.2008.159","https://www.scopus.com/pages/publications/58849130197?origin=resultslist","University of Illinois, Urbana-Champaign, United States","Nicol D.M., University of Illinois, Urbana-Champaign, United States; Sanders W.H., University of Illinois, Urbana-Champaign, United States; Singh S., University of Illinois, Urbana-Champaign, United States; Seri M., University of Illinois, Urbana-Champaign, United States","The Access Policy Tool (APT) verifies access policy implementation against specification of global policy that encodes best practice recommendations. The APT specifies a network's global access policy and verifies that an implementation adheres to the global access policy exactly. The APT can analyze networks with heterogeneous mixtures of firewall brands and models and deals with sophisticated firewall features such as authentication. Users can browse the firewall rules, run the verifier, and display the results using the APT's graphical interface. They can use this to describe a network, import the network using an XML schema or run a program that infers the network topology from the firewall rule sets. The APT automatically highlights the devices involved in the rules in the graphical display. The APT can perform an exhaustive analysis that identifies every possible flow that violates global policy in some way or the other.","","Authentication; Computer system firewalls; Control systems; Display devices; Electric network topology; Heterogeneous networks; Markup languages; Access policies; Best practices; Firewall rules; Global networks; Global policies; Graphical displays; Graphical interfaces; Heterogeneous mixtures; Network topologies; Process control systems; Xml schemata; Access control","Institute for Information Infrastructure Protection; U.S. Department of Homeland Security, DHS, (2006-CS-001-000001)","The US Department of Homeland Security, through grant award number 2006-CS-001-000001 under the auspices of the Institute for Information Infrastructure Protection (I3P) research program, partly supported this work. The views and conclusions contained in this document are those of the authors and should not be interpreted as necessarily representing the official policies, either expressed or implied, of the US Department of Homeland Security, the I3P, or Dartmouth College, which manages the I3P program.","","Article","Scopus"
"Haugen M.J.; Paoli L.; Cullen J.; Cebon D.; Boies A.M.","Haugen, Molly J. (57194272973); Paoli, Leonardo (57200527701); Cullen, Jonathan (25924878700); Cebon, David (7006743316); Boies, Adam M. (16634605000)","57194272973; 57200527701; 25924878700; 7006743316; 16634605000","A fork in the road: Which energy pathway offers the greatest energy efficiency and CO2 reduction potential for low-carbon vehicles?","2021","Applied Energy","47","10.1016/j.apenergy.2020.116295","https://www.scopus.com/pages/publications/85097783570?origin=resultslist","Department of Engineering, Trumpington Street, University of Cambridge, Cambridge, CB2 1PZ, United Kingdom","Haugen M.J., Department of Engineering, Trumpington Street, University of Cambridge, Cambridge, CB2 1PZ, United Kingdom; Paoli L., Department of Engineering, Trumpington Street, University of Cambridge, Cambridge, CB2 1PZ, United Kingdom; Cullen J., Department of Engineering, Trumpington Street, University of Cambridge, Cambridge, CB2 1PZ, United Kingdom; Cebon D., Department of Engineering, Trumpington Street, University of Cambridge, Cambridge, CB2 1PZ, United Kingdom; Boies A.M., Department of Engineering, Trumpington Street, University of Cambridge, Cambridge, CB2 1PZ, United Kingdom","A future energy system for road transport requires optimised energy use and primary energy decarbonisation to achieve global CO2 reduction goals. Simultaneously decarbonising transport with other sectors of the economy places additional demands on limited low-carbon energy sources, requiring efficient processes within a fuel pathway from energy source to -energy use. Battery electric vehicles (BEVs) and fuel-cell electric vehicles (FCEVs) are low-carbon options that reduce tailpipe emissions, but differ in overall efficiency, associated carbon intensity, and cost. Current commercialised technologies, as well as theoretical maximums, are aggregated in a stochastic analysis to quantify the energy efficiency and CO2 differences for BEV and FCEV energy systems. Carbon capture and storage improves source-to-wheels CO2 intensity for hydrogen produced from steam methane reformation (27 gCO2/km with carbon capture and store and 140 gCO2/km without for light-duty FCEVs). Light-duty BEVs have a lower CO2 intensity (11 gCO2/km) using decarbonised grid electricity and are 65% more efficient than light-duty FCEVs using grid energy. These effects translate to heavy-good vehicles but with added complexity. In a maximised trailer volume scenario, electric and fuel-cell heavy-good vehicles have similar projected carbon intensities from a natural gas primary energy source, but electric heavy-good vehicle using conventional battery systems or an electric road system are able to achieve a 55% and 67% carbon reduction (gCO2/m3 km) compared to fuel-cell heavy-goods vehicles, respectively. © 2020 Elsevier Ltd","BEV; Decarbonisation; Efficiency; Energy optimisation; FCEV; Heavy-good vehicles","Battery electric vehicles; Carbon capture; Carbon dioxide; Fuel cells; Fuel economy; Hydrogen storage; Natural gas vehicles; Road vehicles; Roads and streets; Secondary batteries; Steam reforming; Stochastic systems; Truck transportation; Vehicle-to-grid; Conventional batteries; Fuel cell electric vehicle; Heavy good vehicles; Heavy goods vehicles; Low carbon energies; Low carbon vehicles; Primary energy source; Stochastic analysis; carbon dioxide; electric vehicle; emission control; energy efficiency; energy use; reduction; Energy efficiency","","","Elsevier Ltd","Article","Scopus"
"Jiang N.; Vest-Nielsen J.L.; Muceli S.; Farina D.","Jiang, Ning (36813786200); Vest-Nielsen, Johnny Lg (55560370300); Muceli, Silvia (20436235000); Farina, Dario (7004908025)","36813786200; 55560370300; 20436235000; 7004908025","EMG-based simultaneous and proportional estimation of wrist/hand kinematics in uni-lateral trans-radial amputees","2012","Journal of NeuroEngineering and Rehabilitation","168","10.1186/1743-0003-9-42","https://www.scopus.com/pages/publications/84862761196?origin=resultslist","Strategic Technology Management, OttoBock HealthCare GmbH, Duderstadt, 37115, Max-Näder Str. 15, Germany; Center for Sensory-Motor Interaction (SMI), Dept. of Health Science and Technology (HST), Aalborg University, Aalborg, 9220, Fredrik Bajers Vej 7 D3, Denmark; Department of Neurorehabilitation Engineering, Bernstein Center for Computational Neuroscience, Georg-August University, Göttingen, 37075, Von-Sieblod-str. 4, Germany","Jiang N., Strategic Technology Management, OttoBock HealthCare GmbH, Duderstadt, 37115, Max-Näder Str. 15, Germany, Department of Neurorehabilitation Engineering, Bernstein Center for Computational Neuroscience, Georg-August University, Göttingen, 37075, Von-Sieblod-str. 4, Germany; Vest-Nielsen J.L., Center for Sensory-Motor Interaction (SMI), Dept. of Health Science and Technology (HST), Aalborg University, Aalborg, 9220, Fredrik Bajers Vej 7 D3, Denmark; Muceli S., Center for Sensory-Motor Interaction (SMI), Dept. of Health Science and Technology (HST), Aalborg University, Aalborg, 9220, Fredrik Bajers Vej 7 D3, Denmark, Department of Neurorehabilitation Engineering, Bernstein Center for Computational Neuroscience, Georg-August University, Göttingen, 37075, Von-Sieblod-str. 4, Germany; Farina D., Department of Neurorehabilitation Engineering, Bernstein Center for Computational Neuroscience, Georg-August University, Göttingen, 37075, Von-Sieblod-str. 4, Germany","We propose a method for estimating wrist kinematics during dynamic wrist contractions from multi-channel surface electromyography (EMG). The algorithm extracts features from the surface EMG and uses dedicated multi-layer perceptron networks to estimate individual joint angles of the 3 degrees of freedom (DoFs) of the wrist. The method was designed with the aim of proportional and simultaneous control of multiple DoFs of active prostheses by unilateral amputees. Therefore, the proposed approach was tested in both unilateral transradial amputees and in intact-limbed control subjects. It was shown that the joint angles at the 3 DoFs of amputees can be estimated from surface EMG recordings, during mirrored bi-lateral contractions that simultaneously and proportionally articulated the 3 DoFs. The estimation accuracies of amputee subjects with long stumps were 62.5% ± 8.50% across all 3 DoFs, while accuracies of the intact-limbed control subjects were 72.0% ± 8.29%. The estimation results from intact-limbed subjects were consistent with earlier studies. The results from the current study demonstrated the feasibility of the proposed myoelectric control approach to provide a more intuitive myoelectric control strategy for unilateral transradial amputees. © 2012 Jiang et al.; licensee BioMed Central Ltd.","","Adult; Algorithms; Amputation, Traumatic; Amputees; Arm; Artificial Limbs; Automatic Data Processing; Biomechanics; Electrodes; Electromyography; Female; Functional Laterality; Hand; Humans; Joints; Male; Middle Aged; Neural Networks (Computer); Radius; Wrist; MLCS; MLOWN; adult; algorithm; arm; article; artificial neural network; biomechanics; disabled person; electrode; electromyography; female; hand; hemispheric dominance; histology; human; information processing; joint; limb prosthesis; male; middle aged; pathophysiology; physiology; radius; traumatic amputation; wrist","Seventh Framework Programme, FP7, (251555); Seventh Framework Programme, FP7; European Commission, EC; Bundesministerium für Bildung und Forschung, BMBF, (01GQ0810); Bundesministerium für Bildung und Forschung, BMBF; Regione Autonoma della Sardegna","This work is financially supported by the following sources: German Ministry for Education and Research (BMBF) via the Bernstein Focus Neurotechnology (BFNT) Göttingen under Grant No. 01GQ0810; European Commission via the Industrial Academia Partnerships and Pathways (IAPP) under Grant No. 251555 (AMYO); a Ph.D. fellowship from Regione Autonoma della Sardegna Italy.","","Article","Scopus"
"Greenwald J.M.; Kornhauser A.","Greenwald, Judith M. (7005057013); Kornhauser, Alain (36856748600)","7005057013; 36856748600","It's up to us: Policies to improve climate outcomes from automated vehicles","2019","Energy Policy","33","10.1016/j.enpol.2018.12.017","https://www.scopus.com/pages/publications/85059460444?origin=resultslist","Andlinger Center for Energy and the Environment, Princeton University, United States; Princeton University, United States","Greenwald J.M., Andlinger Center for Energy and the Environment, Princeton University, United States; Kornhauser A., Princeton University, United States","Vehicle automation is coming, but environmental and energy imperatives are NOT what's motivating it. In fact, its energy and environmental outcomes are deeply uncertain. The promise of autonomous vehicles (AVs) is greater safety and mobility. The question is: How do we achieve that promise while reducing greenhouse gas (GHG) emissions and saving energy? Future AV scenarios range widely, from dramatically higher to dramatically lower GHG emissions. Fortunately, the best case for the environment is also the best case for business, for the economy, and for safe and affordable mobility: autonomous Taxi fleets that operate clean vehicles, encourage ridesharing, and are integrated with other public and private transportation modes. Governments, businesses, drivers and riders make decisions that can increase or decrease the likelihood of the best-case scenario. The stakes are very high, as the transportation sector is now the largest source of U.S. GHG emissions. Emissions are equal to (1) emissions per-vehicle-mile, multiplied by (2) vehicle-miles traveled (VMT). This paper explores the business, technology and behavioral decisions with respect to automation that have the greatest impact along these two dimensions. It then identifies policy interventions that could influence these key decisions to achieve the best GHG outcomes. AVs are an important international issue, although this paper is focused on the United States. © 2018 Elsevier Ltd","Autonomous vehicles; Climate policy; Energy policy; Environmental policy; Transportation policy","United States; Automation; Energy policy; Environmental protection; Gas emissions; Taxicabs; Autonomous Vehicles; Climate policy; Environmental outcome; Environmental policy; Private transportation; Transportation policies; Transportation sector; Vehicle-miles traveled; automation; carbon emission; emission control; energy policy; environmental policy; greenhouse gas; taxi transport; transportation policy; Greenhouse gases","Princeton University’s Andlinger Center for Energy and the Environment","We thank the Princeton University’s Andlinger Center for Energy and the Environment for supporting this research.","Elsevier Ltd","Article","Scopus"
"Gorodnichev R.M.; Pivovarova E.A.; Puhov A.; Moiseev S.A.; Savochin A.A.; Moshonkina T.R.; Chsherbakova N.A.; Kilimnik V.A.; Selionov V.A.; Kozlovskaya I.B.; Edgerton V.R.; Gerasimenko Y.P.","Gorodnichev, R.M. (12768520700); Pivovarova, E.A. (22136028000); Puhov, A. (55184730800); Moiseev, S.A. (55184913700); Savochin, A.A. (26538048500); Moshonkina, T.R. (6506810155); Chsherbakova, N.A. (55185225500); Kilimnik, V.A. (55185075600); Selionov, V.A. (6701349651); Kozlovskaya, I.B. (6701663011); Edgerton, V.R. (34569477700); Gerasimenko, Yu P. (7003598492)","12768520700; 22136028000; 55184730800; 55184913700; 26538048500; 6506810155; 55185225500; 55185075600; 6701349651; 6701663011; 34569477700; 7003598492","Transcutaneous electrical stimulation of the spinal cord: A noninvasive tool for the activation of stepping pattern generators in humans","2012","Human Physiology","57","10.1134/S0362119712020065","https://www.scopus.com/pages/publications/84859743566?origin=resultslist","Velikie Luki State Academy of Physical Education and Sports, Velikie Luki, Pskov oblast 182100, Russian Federation; Pavlov Institute of Physiology, Russian Academy of Sciences, St. Petersburg 199034, Russian Federation; St. Petersburg State University of Aerospace Instrumentation, St. Petersburg 190000, Russian Federation; Kharkevich Institute for Information Transmission Problems, Russian Academy of Sciences, Moscow 127994, Russian Federation; Institute of Biomedical Problems, Russian Academy of Sciences, Moscow 123007, Russian Federation; Department of Physiological Science, University of California, Los Angeles, CA 90024, United States","Gorodnichev R.M., Velikie Luki State Academy of Physical Education and Sports, Velikie Luki, Pskov oblast 182100, Russian Federation; Pivovarova E.A., Velikie Luki State Academy of Physical Education and Sports, Velikie Luki, Pskov oblast 182100, Russian Federation; Puhov A., Velikie Luki State Academy of Physical Education and Sports, Velikie Luki, Pskov oblast 182100, Russian Federation; Moiseev S.A., Velikie Luki State Academy of Physical Education and Sports, Velikie Luki, Pskov oblast 182100, Russian Federation; Savochin A.A., Pavlov Institute of Physiology, Russian Academy of Sciences, St. Petersburg 199034, Russian Federation; Moshonkina T.R., Pavlov Institute of Physiology, Russian Academy of Sciences, St. Petersburg 199034, Russian Federation; Chsherbakova N.A., Pavlov Institute of Physiology, Russian Academy of Sciences, St. Petersburg 199034, Russian Federation; Kilimnik V.A., St. Petersburg State University of Aerospace Instrumentation, St. Petersburg 190000, Russian Federation; Selionov V.A., Kharkevich Institute for Information Transmission Problems, Russian Academy of Sciences, Moscow 127994, Russian Federation; Kozlovskaya I.B., Institute of Biomedical Problems, Russian Academy of Sciences, Moscow 123007, Russian Federation; Edgerton V.R., Department of Physiological Science, University of California, Los Angeles, CA 90024, United States; Gerasimenko Y.P., Velikie Luki State Academy of Physical Education and Sports, Velikie Luki, Pskov oblast 182100, Russian Federation, Department of Physiological Science, University of California, Los Angeles, CA 90024, United States","A new method for the activation of spinal locomotor networks (SLN) in humans by transcutaneous electrical spinal cord stimulation (tESCS) has been described. The tESCS applied in the region of the T11-T12 vertebrae with a frequency of 5-40 Hz elicited involuntary step-like movements in healthy subjects with their legs suspended in a gravity-neutral position. The amplitude of evoked step-like movements increased with increasing tESCS frequency. The frequency of evoked step-like movements did not depend on the frequency of tESCS. It was shown that the hip, knee, and ankle joints were involved in the evoked movements. It has been suggested that tESCS activates the SPG (SLN) through in part, via the dorsal roots that enter the spinal cord. tESCS can be used as a noninvasive method in rehabilitation of spinal pathology. © 2012 Pleiades Publishing, Ltd.","electric stimulation; locomotion; spinal cord","","Russian Founda tion for Basic Research, (11 04 12073, 11 04 12074)","ACKNOWLEDGMENTS This study was supported by the Russian Founda tion for Basic Research, project nos. 11 04 12073 ofi m 2011 and 11 04 12074 ofi m 2011.","","Article","Scopus"
"Wübbold F.; Hentschel M.; Vousdoukas M.I.; Wagner B.","Wübbold, Frauke (55421093200); Hentschel, Matthias (15848414000); Vousdoukas, Michalis I. (16044078400); Wagner, Bernardo (7402578272)","55421093200; 15848414000; 16044078400; 7402578272","Application of an autonomous robot for the collection of nearshore topographic and hydrodynamic measurements","2012","Proceedings of the Coastal Engineering Conference","6","10.9753/icce.v33.management.53","https://www.scopus.com/pages/publications/85064456446?origin=resultslist","Real Time Systems Group, Institute of Systems Engineering, Leibniz Universität Hannover, 30167 Hannover, Appelstraße 9A, Germany; Forschungszentrum Küste, Leibniz Universität Hannover, 30419 Hannover, Merkurstraße 11, Germany","Wübbold F., Real Time Systems Group, Institute of Systems Engineering, Leibniz Universität Hannover, 30167 Hannover, Appelstraße 9A, Germany; Hentschel M., Real Time Systems Group, Institute of Systems Engineering, Leibniz Universität Hannover, 30167 Hannover, Appelstraße 9A, Germany; Vousdoukas M.I., Forschungszentrum Küste, Leibniz Universität Hannover, 30419 Hannover, Merkurstraße 11, Germany; Wagner B., Real Time Systems Group, Institute of Systems Engineering, Leibniz Universität Hannover, 30167 Hannover, Appelstraße 9A, Germany","Beach topographic and hydrodynamic measurements are essential for coastal geology and engineering studies as well as sustainable coastal management. Standard approaches involve either time-consuming manual data acquisition usually with limited coverage or remote sensing techniques which are usually characterized by low resolution or increased costs. The present contribution reports the results from the application of the autonomous robot RTS-Hanna with a calibrated sensor setup including 3D laser range scanners, a camera, a Differential GPS and an inertial measurement unit which significantly facilitates field data collection. RTS-Hanna was tested at the Wadden Sea Barrier Island Langeoog, Northern Germany, for two days and was proven capable of autonomously collecting topographic scans. 175 GB of dense topographic and water surface elevation data were collected, including RBG images, while RTS-Hanna covered a total of 21 km of coastline in approximately 3 hours. Scans of the surf/swash zone allowed continuous measurements of topographic changes at the beachface, wave propagation velocities and wave breaking heights.","3D laser range scanner; Autonomous robot; Hydrodynamic measurements; Remote sensing; Topographic measurements","Coastal engineering; Data acquisition; Hydrodynamics; Remote sensing; Scanning; Wave propagation; Continuous measurements; Hydrodynamic measurements; Inertial measurement unit; Laser range scanners; Remote sensing techniques; Topographic measurements; Water surface elevations; Wave propagation velocities; Robots","","","American Society of Civil Engineers (ASCE)","Conference paper","Scopus"
"Chiş A.; Rajasekharan J.; Lundén J.; Koivunen V.","Chiş, Adriana (26424516400); Rajasekharan, Jayaprakash (36161345400); Lundén, Jarmo (16319081900); Koivunen, Visa (7004671823)","26424516400; 36161345400; 16319081900; 7004671823","Demand response for renewable energy integration and load balancing in smart grid communities","2016","European Signal Processing Conference","31","10.1109/EUSIPCO.2016.7760483","https://www.scopus.com/pages/publications/85005950867?origin=resultslist","Department of Signal Processing and Acoustics, Aalto University, Espoo, Finland","Chiş A., Department of Signal Processing and Acoustics, Aalto University, Espoo, Finland; Rajasekharan J., Department of Signal Processing and Acoustics, Aalto University, Espoo, Finland; Lundén J., Department of Signal Processing and Acoustics, Aalto University, Espoo, Finland; Koivunen V., Department of Signal Processing and Acoustics, Aalto University, Espoo, Finland","This paper proposes a demand response strategy for energy management within a smart grid community of residential households. Some of the households own renewable energy systems and energy storage systems (ESS) and sell the excess renewable energy to the residences that need electrical energy. The proposed strategy comprises methods that provide benefits for the residential electricity users and for the load aggregator. Specifically, we propose an off-line algorithm that schedules the renewable resources integration by trading energy between the renewable energy producers and buyers. Moreover, we propose a geometric programming based optimization method that uses the ESS for balancing the community's power grid load and for reducing the grid consumption cost. Simulations show that the proposed method may lead to a community's grid consumption cost reduction of 10.5%. It may also achieve balanced load profiles with peak to average ratio (PAR) close to unity, the average PAR reduction being 52%. © 2016 IEEE.","Demand response; Geometric programming; Load balancing; Optimization; Renewable energy; Smart grids","Power grids; Demand response; Energy; Geometric programming; Grid community; Load-Balancing; Optimisations; Peak to average ratios; Renewable energies; Smart grid; Storage systems; Demand response","","","European Signal Processing Conference, EUSIPCO","Conference paper","Scopus"
