"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Publisher","Document Type","Source"
"Colbertaldo P.; Guandalini G.; Campanari S.","Colbertaldo, Paolo (56960631600); Guandalini, Giulio (56294440500); Campanari, Stefano (6602182225)","56960631600; 56294440500; 6602182225","Modelling the integrated power and transport energy system: The role of power-to-gas and hydrogen in long-term scenarios for Italy","2018","Energy","100","10.1016/j.energy.2018.04.089","https://www.scopus.com/pages/publications/85047650636?origin=resultslist","Politecnico di Milano, Department of Energy, Via Lambruschini 4A, Milano, 20156, Italy","Colbertaldo P., Politecnico di Milano, Department of Energy, Via Lambruschini 4A, Milano, 20156, Italy; Guandalini G., Politecnico di Milano, Department of Energy, Via Lambruschini 4A, Milano, 20156, Italy; Campanari S., Politecnico di Milano, Department of Energy, Via Lambruschini 4A, Milano, 20156, Italy","This work analyses future energy scenarios at country scale, focusing on the interaction between power and transport sectors, where Power-to-Gas is expected to play a key role. A multi-node model is developed to represent the integrated energy system, including additional electrical load from plug-in electric vehicles, energy storage, and hydrogen production from excess electricity for fuel cell vehicles. Electricity supply-demand balance is solved hourly, while liquid and gaseous fuels for mobility are accounted for cumulatively over the year. The Italian system is investigated, considering different evolution scenarios up to 2030 and 2050. The simulations yield a maximum 57% share of renewable sources in the electricity mix in 2050, while biomass could account for a further 5%. Results show that the use of Power-to-Gas increases the overall share of renewable sources across the sectors. High coverage of hydrogen mobility demand by clean production (about 81%) is achieved in presence of a large installation of renewables and a substantial introduction of fuel cell vehicles. However, greenhouse gas emissions reduction does not attain the ambitious long-term targets. In the best scenario, transport approaches the 60% cut, while power sector achieves only half of the desired 95% variation, thus calling for additional measures. © 2018 Elsevier Ltd","Hydrogen; Integration; Long-term scenarios; Multi-node modelling; Power and transport; Power-to-Gas","Italy; Electric energy storage; Emission control; Fuel cells; Gas emissions; Hydrogen production; Hydrogen storage; Plug-in electric vehicles; Fuel cell vehicles; Long-term scenario; Multi-node modeling; Multi-nodes; Node model; Power; Power and transport; Power sector; Power-to-gas; electric vehicle; electrical power; electricity; electricity supply; energy storage; fuel cell; hydrogen; integrated approach; modeling; numerical model; renewable resource; simulation; Greenhouse gases","","","Elsevier Ltd","Article","Scopus"
"Falentina A.T.; Resosudarmo B.P.","Falentina, Anna T. (57210413803); Resosudarmo, Budy P. (6602240574)","57210413803; 6602240574","The impact of blackouts on the performance of micro and small enterprises: Evidence from Indonesia","2019","World Development","42","10.1016/j.worlddev.2019.104635","https://www.scopus.com/pages/publications/85070621834?origin=resultslist","Arndt-Corden Department of Economics, Crawford School of Public Policy, Australian National University, Australia; Statistics Indonesia (Badan Pusat Statistik), Indonesia","Falentina A.T., Arndt-Corden Department of Economics, Crawford School of Public Policy, Australian National University, Australia, Statistics Indonesia (Badan Pusat Statistik), Indonesia; Resosudarmo B.P., Arndt-Corden Department of Economics, Crawford School of Public Policy, Australian National University, Australia","The reliability of electricity supply is one of the most pressing challenges faced by many micro and small enterprises (MSEs) in developing countries. MSEs play a pivotal role in generating employment in these countries, yet the productivity of MSEs is relatively low. Little is known about how blackouts affect performance of MSEs. This paper is the first study to estimate the impact of such power blackouts on productivity of manufacturing MSEs and to discuss the role of the government in addressing the problem. We employed a pseudo-panel dataset covering six firm cohorts within 21 regions the Indonesian national electricity company operates in from 2010 to 2015. Our identification strategy firstly involved examining blackouts determinants and then using these determinants as instruments in an instrumental variable (IV) dynamic panel fixed effects estimation while controlling for factors that potentially affected productivity and correlated with blackouts. We found that electricity blackouts reduced average labor productivity and the resultant losses amounted to approximately IDR 71.5 billion (USD 4.91 million) per year in Indonesia. Therefore, it is crucial to improve electricity supply reliability in developing countries. We found that introducing a captive generator as a way to cope with power outages is positively associated with productivity, and that MSEs that have captive generators benefit when the power supply is poor. Our findings will assist policy makers to prioritize addressing power blackouts relative to other constraints MSEs face. © 2019 Elsevier Ltd","Asia; Captive generator; Indonesia; Micro and small enterprises; Power blackouts; Productivity","Indonesia; developing world; electricity supply; manufacturing; productivity; small and medium-sized enterprise; state role","Arndt-Corden Department of Economics","We thank PLN and BPS for data supply. We appreciate the feedbacks from David Stern, Paul Burke, Peter McCawley and all participants at the Arndt-Corden Department of Economics’ PhD seminar, the 12th World Congress of Regional Science Association International, the 14th Australasian Development Economics Workshop and the 1st Sustainability and Development Conference. All mistakes are authors’ responsibilities.","Elsevier Ltd","Article","Scopus"
"Gauri S.K.","Gauri, Susanta Kumar (9634692900)","9634692900","Optimization of multi-response dynamic systems using principal component analysis (PCA)-based utility theory approach","2014","International Journal of Industrial Engineering Computations","7","10.5267/j.ijiec.2013.09.004","https://www.scopus.com/pages/publications/84891030555?origin=resultslist","SQC and OR Unit, Indian Statistical Institute, Kolkata-700108, 203, B. T. Road, India","Gauri S.K., SQC and OR Unit, Indian Statistical Institute, Kolkata-700108, 203, B. T. Road, India","Optimization of a multi-response dynamic system aims at finding out a setting combination of input controllable factors that would result in optimum values for all response variables at all signal levels. In real life situation, often the multiple responses are found to be correlated. The main advantage of PCA-based approaches is that it takes into account the correlation among the multiple responses. Two PCA-based approaches that are commonly used for optimization of multiple responses in dynamic system are PCA-based technique for order preference by similarity to ideal solution (TOPSIS) and PCA-based multiple criteria evaluation of the grey relational model (MCE-GRM). This paper presents a new PCA-based approach, called PCA-based utility theory (UT) approach, for optimization of multiple dynamic responses and compares its optimization performance with other existing PCA-based approaches. The results show that the proposed PCA-based UT method is superior to the other PCA-based approaches. © 2013 Growing Science Ltd. All rights reserved.","Dynamic system; Multiple responses; Optimization; Principal component analysis; Utility theory","","","","","Article","Scopus"
"Eicke A.; Khanna T.; Hirth L.","Eicke, Anselm (57219911553); Khanna, Tarun (57202914625); Hirth, Lion (55054839000)","57219911553; 57202914625; 55054839000","Locational investment signals: How to steer the siting of new generation capacity in power systems?","2020","Energy Journal","32","10.5547/01956574.41.6.aeic","https://www.scopus.com/pages/publications/85096048822?origin=resultslist","Hertie School, Berlin, Germany; Mercator Research Institute on Global Commons and Climate Change (MCC); Neon Neue Energieökonomik GmbH","Eicke A., Hertie School, Berlin, Germany; Khanna T., Hertie School, Berlin, Germany, Mercator Research Institute on Global Commons and Climate Change (MCC); Hirth L., Hertie School, Berlin, Germany, Mercator Research Institute on Global Commons and Climate Change (MCC), Neon Neue Energieökonomik GmbH","New generators located far from consumption centers require transmission infrastructure and increase network losses. The primary objective of this paper is to study signals that affect the location of generation investment. Such signals result from the electricity market itself and from additional regulatory instruments. We cluster them into five groups: Locational electricity markets, deep grid connection charges, grid usage charges, capacity mechanisms, and renewable energy support schemes. We review the use of instruments in twelve major power systems and discuss relevant properties, including a quantitative estimate of their strength. We find that most systems use multiple instruments in parallel, and none of the identified instruments prevails. The signals vary between locations by up to 20 EUR per MWh. Such a difference is significant when compared to the levelized costs of combined cycle plants of 64-72 EUR per MWh in Europe. © 2020 by the IAEE.","Electricity markets; Generation investment; Incentive regulation; Locational signal; Market regulation","","Bundesministerium für Bildung und Forschung, BMBF, (03EK3046F)","This work was supported by the Energy Transition Hub, a collaborative venture supported by the German Federal Ministry of Education and Research under project number 03EK3046F. The funders had no role in study design, analysis, or preparation of the manuscript.","International Association for Energy Economics","Article","Scopus"
"Biswas S.; Kundu S.; Das S.","Biswas, Subhodip (55537363500); Kundu, Souvik (55538177800); Das, Swagatam (24729258600)","55537363500; 55538177800; 24729258600","Inducing Niching Behavior in Differential Evolution Through Local Information Sharing","2015","IEEE Transactions on Evolutionary Computation","207","10.1109/TEVC.2014.2313659","https://www.scopus.com/pages/publications/84926317673?origin=resultslist","Department of Electronics and Telecommunication Engineering, Jadavpur University, Kolkata, India; Electronics and Communication Sciences Unit, Indian Statistical Institute, Kolkata, India","Biswas S., Department of Electronics and Telecommunication Engineering, Jadavpur University, Kolkata, India; Kundu S., Department of Electronics and Telecommunication Engineering, Jadavpur University, Kolkata, India; Das S., Electronics and Communication Sciences Unit, Indian Statistical Institute, Kolkata, India","In practical situations, it is very often desirable to detect multiple optimally sustainable solutions of an optimization problem. The population-based evolutionary multimodal optimization algorithms can be very helpful in such cases. They detect and maintain multiple optimal solutions during the run by incorporating specialized niching operations to aid the parallel localized convergence of population members around different basins of attraction. This paper presents an improved information-sharing mechanism among the individuals of an evolutionary algorithm for inducing efficient niching behavior. The mechanism can be integrated with stochastic real-parameter optimizers relying on differential perturbation of the individuals (candidate solutions) based on the population distribution. Various real-coded genetic algorithms (GAs), particle swarm optimization (PSO), and differential evolution (DE) fit the example of such algorithms. The main problem arising from differential perturbation is the unequal attraction toward the different basins of attraction that is detrimental to the objective of parallel convergence to multiple basins of attraction. We present our study through DE algorithm owing to its highly random nature of mutation and show how population diversity is preserved by modifying the basic perturbation (mutation) scheme through the use of random individuals selected probabilistically. By integrating the proposed technique with DE framework, we present three improved versions of well-known DE-based niching methods. Through an extensive experimental analysis, a statistically significant improvement in the overall performance has been observed upon integrating of our technique with the DE-based niching methods. © 1997-2012 IEEE.","Differential perturbation; diversity; local information sharing; multimodal optimization; niching algorithm","Algorithms; Genetic algorithms; Information analysis; Information dissemination; Optimization; Particle swarm optimization (PSO); Stochastic systems; Differential perturbation; diversity; Local information sharing; Multi-modal optimization; Niching algorithms; Evolutionary algorithms","","","Institute of Electrical and Electronics Engineers Inc.","Article","Scopus"
"Wu Y.; Chen Z.; Hu L.; Jin M.; Li Y.; Jiang J.; Yu J.; Alejaldre C.; Stevens E.; Kim K.; Maisonnier D.; Kalashnikov A.; Tobita K.; Jackson D.; Perrault D.","Wu, Y. (55618485100); Chen, Z. (56007723400); Hu, L. (7401556990); Jin, M. (53363640000); Li, Y. (55647157400); Jiang, J. (35179656800); Yu, J. (57199157537); Alejaldre, C. (6602647314); Stevens, E. (57192378664); Kim, K. (34770393200); Maisonnier, D. (56627768700); Kalashnikov, A. (59875075400); Tobita, K. (8451520700); Jackson, D. (57207383201); Perrault, D. (26649586200)","55618485100; 56007723400; 7401556990; 53363640000; 55647157400; 35179656800; 57199157537; 6602647314; 57192378664; 34770393200; 56627768700; 59875075400; 8451520700; 57207383201; 26649586200","Identification of safety gaps for fusion demonstration reactors","2016","Nature Energy","202","10.1038/nenergy.2016.154","https://www.scopus.com/pages/publications/85019554972?origin=resultslist","Key Laboratory of Neutronics and Radiation Safety, Institute of Nuclear Energy Safety Technology, Chinese Academy of Sciences, Hefei, Anhui, 230031, China; ITER Organization, Route de Vinon sur Verdon, St Paul-lez-Durance, 13115, France; US Department of Energy, SC-24/Germantown Building, 1000 Independence Avenue, SW, Washington, 20585, DC, United States; National Fusion Research Institute, Daejeon, 305-806, South Korea; European Commission, Rue du Champs de Mars 21, Brussels, B-1050, Belgium; State Atomic Energy Corporation, 24 Bolshaya Ordynka Street, Moscow, 119017, Russian Federation; Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology, Rokkasho, Aomori, 039-3212, Japan; Department of Engineering Physics, McMaster University, 1280 Main Street, West Hamilton, L8S4L7, ON, Canada; Institut de Radioprotection et Sûreté Nucleaíre, Villeneuve les Avignon, France","Wu Y., Key Laboratory of Neutronics and Radiation Safety, Institute of Nuclear Energy Safety Technology, Chinese Academy of Sciences, Hefei, Anhui, 230031, China; Chen Z., Key Laboratory of Neutronics and Radiation Safety, Institute of Nuclear Energy Safety Technology, Chinese Academy of Sciences, Hefei, Anhui, 230031, China; Hu L., Key Laboratory of Neutronics and Radiation Safety, Institute of Nuclear Energy Safety Technology, Chinese Academy of Sciences, Hefei, Anhui, 230031, China; Jin M., Key Laboratory of Neutronics and Radiation Safety, Institute of Nuclear Energy Safety Technology, Chinese Academy of Sciences, Hefei, Anhui, 230031, China; Li Y., Key Laboratory of Neutronics and Radiation Safety, Institute of Nuclear Energy Safety Technology, Chinese Academy of Sciences, Hefei, Anhui, 230031, China; Jiang J., Key Laboratory of Neutronics and Radiation Safety, Institute of Nuclear Energy Safety Technology, Chinese Academy of Sciences, Hefei, Anhui, 230031, China; Yu J., Key Laboratory of Neutronics and Radiation Safety, Institute of Nuclear Energy Safety Technology, Chinese Academy of Sciences, Hefei, Anhui, 230031, China; Alejaldre C., ITER Organization, Route de Vinon sur Verdon, St Paul-lez-Durance, 13115, France; Stevens E., US Department of Energy, SC-24/Germantown Building, 1000 Independence Avenue, SW, Washington, 20585, DC, United States; Kim K., National Fusion Research Institute, Daejeon, 305-806, South Korea; Maisonnier D., European Commission, Rue du Champs de Mars 21, Brussels, B-1050, Belgium; Kalashnikov A., State Atomic Energy Corporation, 24 Bolshaya Ordynka Street, Moscow, 119017, Russian Federation; Tobita K., Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology, Rokkasho, Aomori, 039-3212, Japan; Jackson D., Department of Engineering Physics, McMaster University, 1280 Main Street, West Hamilton, L8S4L7, ON, Canada; Perrault D., Institut de Radioprotection et Sûreté Nucleaíre, Villeneuve les Avignon, France","To assist in the development of nuclear fusion as a viable commercial power source, preparation is underway for the fusion demonstration reactor (DEMO), which will build on the work of ITER, the international experimental fusion reactor. Like other advanced nuclear energy systems, DEMO must satisfy several goals including a high level of public and worker safety, low environmental impact, high reactor availability, a closed fuel cycle and the potential to be economically competitive. Yet there are still large scientific and technological safety gaps between the on-going ITER project and DEMO that will need to be addressed. Here we review international fusion safety research and development relevant to DEMO, following the lessons learned so far from ITER. We identify the main scientific and technological safety gaps, drawing on knowledge from the development of fission energy, in particular Generation IV (Gen-IV) fission reactors. From this survey, we discuss the corresponding implications for the design and operation of DEMO. © 2016 Macmillan Publishers Limited, part of Springer Nature. All rights reserved.","","Environmental impact; Nuclear energy; Thermonuclear reactions; Closed fuel cycles; Commercial power sources; Demonstration reactor; Design and operations; Fission energy; Fusion safety; Nuclear energy systems; Nuclear fusion; Nuclear reactors","","","Nature Publishing Group","Review","Scopus"
"Bril-Mascarenhas T.; Post A.E.","Bril-Mascarenhas, Tomás (56194548700); Post, Alison E. (25825427100)","56194548700; 25825427100","Policy Traps: Consumer Subsidies in Post-Crisis Argentina","2015","Studies in Comparative International Development","24","10.1007/s12116-014-9158-y","https://www.scopus.com/pages/publications/84939879550?origin=resultslist","Charles and Louise Travers Department of Political Science, University of California, Berkeley, 210 Barrows Hall, Berkeley, 94720-1950, CA, United States","Bril-Mascarenhas T., Charles and Louise Travers Department of Political Science, University of California, Berkeley, 210 Barrows Hall, Berkeley, 94720-1950, CA, United States; Post A.E., Charles and Louise Travers Department of Political Science, University of California, Berkeley, 210 Barrows Hall, Berkeley, 94720-1950, CA, United States","Developing countries devote significant resources to lowering consumer prices for basic goods and services such as food and electricity. Theories of the welfare state only partially elucidate why consumer subsidy regimes grow so large and become entrenched. While the welfare state literature stresses how concentrated, organized beneficiary groups push for the expansion and protection of well-known programs such as pensions, the developing world’s consumers are atomized, and subsidies themselves are of low visibility. The size and durability of consumer subsidy regimes stem primarily from political uncertainty and price shocks that provide politicians with strong incentives to avoid blame for repeal. Over time, environmental pressures and fears of political backlash against repeal reinforce one another, increasing the fiscal burden subsidies impose and dramatically raising the political cost of program exit. In this sense, consumer subsidy programs come to form “policy traps”—initially modest policies that quickly grow and become entrenched, thereby greatly reducing politicians’ maneuvering room. We utilize this framework to analyze the meteoric growth and entrenchment of utility subsidies in post-crisis Argentina. In Argentina, subsidies grew despite the private provision of subsidized services—making it difficult for the government to claim credit—even in sectors with weakly organized interests. © 2014, The Author(s).","Argentina; Consumer subsidies; Public utilities; Regulation; Urban bias; Welfare state","","","","Springer New York LLC","Article","Scopus"
"Roy R.; De Sarkar N.; Ghose S.; Paul R.R.; Pal M.; Bhattacharya C.; Chowdhury S.K.R.; Ghosh S.; Roy B.","Roy, Roshni (55940675300); De Sarkar, Navonil (55596373600); Ghose, Sandip (55939665100); Paul, Ranjan R. (35515388700); Pal, Mousumi (14632271900); Bhattacharya, Chandrika (59280145400); Chowdhury, Shweta K. Roy (55940659500); Ghosh, Saurabh (7404807947); Roy, Bidyut (7201660428)","55940675300; 55596373600; 55939665100; 35515388700; 14632271900; 59280145400; 55940659500; 7404807947; 7201660428","Genetic variations at microRNA and processing genes and risk of oral cancer","2014","Tumor Biology","32","10.1007/s13277-013-1450-3","https://www.scopus.com/pages/publications/84898794275?origin=resultslist","Human Genetics Unit, Indian Statistical Institute, Kolkata 700108, 203, B.T. Road, India; Oral Pathology Department, Guru Nanak Institute of Dental Science and Research, Kolkata 700114, 157/F Nilganj Road, India; National Institute of Bio Medical Genomics, Kalyani 741251 Nadia, West-Bengal, India","Roy R., Human Genetics Unit, Indian Statistical Institute, Kolkata 700108, 203, B.T. Road, India; De Sarkar N., Human Genetics Unit, Indian Statistical Institute, Kolkata 700108, 203, B.T. Road, India; Ghose S., Oral Pathology Department, Guru Nanak Institute of Dental Science and Research, Kolkata 700114, 157/F Nilganj Road, India; Paul R.R., Oral Pathology Department, Guru Nanak Institute of Dental Science and Research, Kolkata 700114, 157/F Nilganj Road, India; Pal M., Oral Pathology Department, Guru Nanak Institute of Dental Science and Research, Kolkata 700114, 157/F Nilganj Road, India; Bhattacharya C., National Institute of Bio Medical Genomics, Kalyani 741251 Nadia, West-Bengal, India; Chowdhury S.K.R., National Institute of Bio Medical Genomics, Kalyani 741251 Nadia, West-Bengal, India; Ghosh S., Human Genetics Unit, Indian Statistical Institute, Kolkata 700108, 203, B.T. Road, India; Roy B., Human Genetics Unit, Indian Statistical Institute, Kolkata 700108, 203, B.T. Road, India","Genetic variations at microRNA and microRNA processing genes are known to confer risk of cancer in different populations. Here, we studied variations at eight microRNA (miRNA) and four miRNA processing genes in 452 controls and 451 oral cancer patients by TaqMan genotyping assays. Variant allele-containing genotypes at mir-196a2 and variant allele homozygous genotype at Ran increased the risk of cancer significantly [adjusted odds ratio (OR) (95 % confidence interval (CI)) = 1.3 (1-1.7) and 2.3 (1.1-4.6), respectively]. Conversely, variant allele-containing genotypes at mir-34b and variant allele homozygous genotype at Gemin3 reduced the risk of cancer significantly [adjusted OR (95 % CI) = 0.7 (0.5-0.9) and 0.6 (0.4-1), respectively]. Cumulative risk was also increased by three times with increase in the number of risk alleles at these four loci. In tobacco stratified analysis, variant allele homozygous genotypes at mir-29a and Ran increased [adjusted OR (95 % CI) = 1.5 (1-2.3) and 3 (1.1-8.4) respectively], while variant allele-containing genotypes at mir-34b decreased [adjusted OR (95 % CI) = 0.6 (0.4-0.9)] the risk of cancer significantly. Thus, genetic variation at miRNA and processing genes altered the risk of oral cancer in this population thereby corroborating studies in other populations. However, it is necessary to validate this result in different Indian sub populations with larger sample sizes and examine the effect of these variations in tumour tissues to explain the mechanism of risk alteration. © 2013 International Society of Oncology and BioMarkers (ISOBM).","Cumulative risk; Genetic variation; microRNA; Oral cancer","Adult; Aged; Female; Genetic Predisposition to Disease; Genetic Variation; Genotype; Humans; Male; MicroRNAs; Middle Aged; Mouth Neoplasms; Polymorphism, Single Nucleotide; Risk; microRNA; adult; article; cancer epidemiology; cancer risk; controlled study; female; genetic epidemiology; genetic risk; genetic variability; genotype; homozygosity; human; Indian; major clinical study; male; mouth cancer; priority journal; RNA processing; tobacco","","","IOS Press BV","Article","Scopus"
"Schweitzer E.O., III; Kasztenny B.; Mynam M.V.","Schweitzer, Edmund O. (7005474806); Kasztenny, Bogdan (56187837400); Mynam, Mangapathirao V. (36139180300)","7005474806; 56187837400; 36139180300","Performance of time-domain line protection elements on real-world faults","2017","69th Annual Conference for Protective Relay Engineers, CPRE 2016","75","10.1109/CPRE.2016.7914904","https://www.scopus.com/pages/publications/85019701535?origin=resultslist","Schweitzer Engineering Laboratories, Inc., United States","Schweitzer E.O., III, Schweitzer Engineering Laboratories, Inc., United States; Kasztenny B., Schweitzer Engineering Laboratories, Inc., United States; Mynam M.V., Schweitzer Engineering Laboratories, Inc., United States","Ultra-high-speed line protection is becoming a reality today, giving the industry a way to trip line faults in a few milliseconds. One relay described in this paper that uses time-domain principles incorporates incremental-quantity (TD32) and traveling-wave (TW32) directional elements in a communications-assisted tripping scheme, incremental-quantity distance element (TD21), and traveling-wave differential element (TW87). This paper introduces these time-domain line protection elements, shares key details of their implementation in hardware, and illustrates their operation using real-world faults and digital simulations. By comparing the performance of the time-domain line protection elements with the traditional phasor-based elements of the in-service relays that captured the fault records, we demonstrate the performance of the time-domain line protection elements. © 2016 IEEE.","","Differential elements; Digital simulation; Directional elements; Line faults; Line protection; Time domain; Traveling wave; Ultra high speed; Relay protection","","","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Scopus"
"Callaghan M.; Ghate C.; Pickford S.; Rathinam F.X.","Callaghan, Michael (56699646500); Ghate, Chetan (6507478439); Pickford, Stephen (56700146000); Rathinam, Francis Xavier (35389697900)","56699646500; 6507478439; 56700146000; 35389697900","Global cooperation among G20 countries: Responding to the crisis and restoring growth","2014","Global Cooperation Among G20 Countries: Responding to the Crisis and Restoring Growth","5","10.1007/978-81-322-1659-9_1","https://www.scopus.com/pages/publications/84933051856?origin=resultslist","Lowy Institute for International Policy, Sydney, Australia; Indian Statistical Institute, New Delhi, India; Chatham House, London, United Kingdom; Department for International Development (DFID), New Delhi, India","Callaghan M., Lowy Institute for International Policy, Sydney, Australia; Ghate C., Indian Statistical Institute, New Delhi, India; Pickford S., Chatham House, London, United Kingdom; Rathinam F.X., Department for International Development (DFID), New Delhi, India","Since the unfolding of the 2008 global financial crisis, the G20 has played a major role in coordinating macroeconomic policies of major economies and reviving the world economy. As the world's primary forum for international economic cooperation, its objectives have been to ensure more sustainable and balanced growth, achieve economic and financial stability and reform the prevailing international financial architecture. In the wake of the crisis, there was a sense of urgency and strong agreement to enact extraordinary policy measures to fend off the collapse of the real sector because of the collapse of confidence in the financial sector. The G20 performed spectacularly in this regard: global gross domestic product (GDP) contracted less than expected in 2009 and rebounded faster than expected in 2010. These coordinated actions were widely credited for forestalling a second Great Depression, with the G20 declaring victory at their third summit at Pittsburgh in September 2009 (It worked). © 2014 Springer India. All rights are reserved.","","","","","Springer India","Book chapter","Scopus"
