"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Publisher","Document Type","Source"
"Hanga K.M.; Kovalchuk Y.","Hanga, Khadijah M. (57212017493); Kovalchuk, Yevgeniya (26534433200)","57212017493; 26534433200","Machine learning and multi-agent systems in oil and gas industry applications: A survey","2019","Computer Science Review","145","10.1016/j.cosrev.2019.08.002","https://www.scopus.com/pages/publications/85075736952?origin=resultslist","Faculty of Computing, Engineering and the Built Environment, Birmingham City University, United Kingdom","Hanga K.M., Faculty of Computing, Engineering and the Built Environment, Birmingham City University, United Kingdom; Kovalchuk Y.","The oil and gas industry (OGI) has always been associated with challenges and complexities. It involves many processes and stakeholders, each generating a huge amount of data. Due to the global and distributed nature of the business, processing and managing this information is an arduous task. Many issues such as orchestrating different data sources, owners and formats; verifying, validating and securing data streams as they move along the complex business process pipeline; and getting insights from data for improving business efficiency, scheduling maintenance and preventing theft and fraud are to be addressed. Artificial intelligence (AI), and machine learning (ML) in particular, have gained huge acceptance in many areas recently, including the OGI, to help humans tackle such complex tasks. Furthermore, multi-agent systems (MAS) as a sub-field of distributed AI meet the requirement of distributed systems and have been utilised successfully in a vast variety of disciplines. Several studies have explored the use of ML and MAS to increase operational efficiency, manage supply chain and solve various production- and maintenance-related tasks in the OGI. However, ML has only been applied to isolated tasks, and while MAS have yielded good performance in simulated environments, they have not gained the expected popularity among oil and gas companies yet. Further research in the fields is necessary to realise the potential of ML and MAS and encourage their wider acceptance in the OGI. In particular, embedding ML into MAS can bring many benefits for the future development of the industry. This paper aims to summarise the efforts to date of applying ML and MAS to OGI tasks, identify possible reasons for their low and slow uptake and suggest ways to ensure a greater adoption of these technologies in the OGI. © 2019 Elsevier Inc.","Artificial intelligence; Machine learning; Multi-agent systems; Oil and gas industry; Supply chain management","Artificial intelligence; Crime; Efficiency; Gas industry; Intelligent agents; Learning systems; Machine learning; Public utilities; Supply chain management; Business efficiency; Business Process; Distributed AI; Distributed systems; Oil and gas companies; Oil and Gas Industry; Operational efficiencies; Simulated environment; Multi agent systems","Petroleum Technology Development Fund, PTDF"," This research was supported by the Petroleum Technology Development Fund of Nigeria .   ","Elsevier Ireland Ltd","Review","Scopus"
"Montazeri A.; Kampf J.H.; Mutani G.","Montazeri, Ahad (58900618500); Kampf, Jerome H. (58759187000); Mutani, Guglielmina (15722741600)","58900618500; 58759187000; 15722741600","Data Driven Urban Building Energy Modeling with Machine Learning in Satom CH","2023","CANDO-EPE 2023 - Proceedings: IEEE 6th International Conference and Workshop Obuda on Electrical and Power Engineering","2","10.1109/CANDO-EPE60507.2023.10417986","https://www.scopus.com/pages/publications/85185701875?origin=resultslist","Denerg, Politecnico di Torino, Department of Energy, Torino, Italy; Idiap Research Institute, Energy Informatics Group, Martigny, Switzerland","Montazeri A., Denerg, Politecnico di Torino, Department of Energy, Torino, Italy; Kampf J.H., Idiap Research Institute, Energy Informatics Group, Martigny, Switzerland; Mutani G., Denerg, Politecnico di Torino, Department of Energy, Torino, Italy","This article delves into the integration of district heating systems into urban planning for sustainable development in regions with moderate to cold climates. The study introduces the Data-driven Urban Energy modeling framework, which aims to bridge the gap between conventional engineering-based energy simulation models and emerging data-driven machine learning (ML) models. By doing so, it provides accurate and comprehensive insights into urban energy demand (ED) patterns. The methodology involves evaluating engineering and ML model's generalization power, revealing its ability to predict energy demand accurately at both building and urban scales. Machine learning algorithms, including LightGBM (LGBM) and Random Forest (RF) regression, are employed to fine-tune the energy-use model for future energy demand predictions. The results demonstrate the model's exceptional accuracy and suitability for diverse urban scenarios. Incorporating a more straightforward approach like Multiple Linear Regression (MLR) into the methodology also highlights its capability to predict energy demand in less complex research scenarios and offer valuable insights for effective urban energy planning. Overall, this article emphasizes the significance of data-driven approaches and machine learning techniques in optimizing energy demand, promoting sustainable urban development, and guiding informed decision-making for energy-efficient cities. The findings have implications for urban planners, policymakers, and energy analysts seeking to enhance energy efficiency and contribute to a greener and more sustainable future for urban communities. © 2023 IEEE.","Data-driven models; Geographic Information System GIS; Machine learning; Place-based approach; Urban building energy modeling","Decision making; District heating; Energy efficiency; Energy management; Forecasting; Forestry; Geographic information systems; Learning algorithms; Machine learning; Urban growth; Building energy model; Data driven; Data-driven model; Energy demands; Geographic information system(GIS); Machine-learning; Place-based; Place-based approach; Urban building energy modeling; Urban buildings; Multiple linear regression","","","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Scopus"
"Ruwaida Y.; Chaves-Avila J.P.; Etherden N.; Gomez-Arriola I.; Gurses-Tran G.; Kessels K.; Madina C.; Sanjab A.; Santos-Mugica M.; Trakas D.N.; Troncia M.","Ruwaida, Yvonne (57219702547); Chaves-Avila, Jose Pablo (55414426600); Etherden, Nicholas (51863609500); Gomez-Arriola, Ines (57188764895); Gurses-Tran, Gonca (57216613662); Kessels, Kris (48761517700); Madina, Carlos (55635310700); Sanjab, Anibal (56672964800); Santos-Mugica, Maider (26031092500); Trakas, Dimitris N. (56440271300); Troncia, Matteo (57016888100)","57219702547; 55414426600; 51863609500; 57188764895; 57216613662; 48761517700; 55635310700; 56672964800; 26031092500; 56440271300; 57016888100","TSO-DSO-Customer Coordination for Purchasing Flexibility System Services: Challenges and Lessons Learned from a Demonstration in Sweden","2023","IEEE Transactions on Power Systems","55","10.1109/TPWRS.2022.3188261","https://www.scopus.com/pages/publications/85134238592?origin=resultslist","Vattenfall Distribution, Solna, SE-169 79, Sweden; Universidad Pontificia Comillas, Iit, Madrid, 28015, Spain; Vattenfall R&d, Solna, SE-169 79, Sweden; Tecnalia, Basque Research and Technology Alliance (BRTA), Derio, 48160, Spain; Tecnalia Is A 'CERVERA Technol. Ctr. of Excellence' Recognised by the Min. of Science and Innovation, Spain; Rwth Aachen University, Aachen, 52062, Germany; Flemish Institute for Technological Research (VITO), EnergyVille, Genk, 3600, Belgium; National Technical University of Athens (NTUA), Athens, 15780, Greece","Ruwaida Y., Vattenfall Distribution, Solna, SE-169 79, Sweden; Chaves-Avila J.P., Universidad Pontificia Comillas, Iit, Madrid, 28015, Spain; Etherden N., Vattenfall R&d, Solna, SE-169 79, Sweden; Gomez-Arriola I., Tecnalia, Basque Research and Technology Alliance (BRTA), Derio, 48160, Spain, Tecnalia Is A 'CERVERA Technol. Ctr. of Excellence' Recognised by the Min. of Science and Innovation, Spain; Gurses-Tran G., Rwth Aachen University, Aachen, 52062, Germany; Kessels K., Flemish Institute for Technological Research (VITO), EnergyVille, Genk, 3600, Belgium; Madina C., Tecnalia, Basque Research and Technology Alliance (BRTA), Derio, 48160, Spain, Tecnalia Is A 'CERVERA Technol. Ctr. of Excellence' Recognised by the Min. of Science and Innovation, Spain; Sanjab A., Flemish Institute for Technological Research (VITO), EnergyVille, Genk, 3600, Belgium; Santos-Mugica M., Tecnalia, Basque Research and Technology Alliance (BRTA), Derio, 48160, Spain, Tecnalia Is A 'CERVERA Technol. Ctr. of Excellence' Recognised by the Min. of Science and Innovation, Spain; Trakas D.N., National Technical University of Athens (NTUA), Athens, 15780, Greece; Troncia M., Universidad Pontificia Comillas, Iit, Madrid, 28015, Spain","This paper presents a real-word implementation of a TSO-DSO-customer coordination framework for the use of flexibility to support system operation. First, we describe the general requirements for TSO-DSO-customer coordination, including potential coordination schemes, actors and roles and the required architecture. Then, we particularise those general requirements for a real-world demonstration in Sweden, aiming to avoid congestions in the grid during the high-demand winter season. In the light of current congestion management rules and existing markets in Sweden, we describe an integration path to newly defined flexibility markets in support of new tools that we developed for this application. The results show that the use of flexibility can reduce the congestion costs while enhancing the secure operation of the system. Additionally, we discuss challenges and lessons learned from the demonstration, including the importance of the engagement between stakeholders, the role of availability remuneration, and the paramount importance of defining appropriate technical requirements and market timings. © 1969-2012 IEEE.","Active distribution networks; balancing services; congestion management; flexibility markets; real-world demonstration; TSO-DSO coordination","Electric power distribution; Power markets; Renewable energy resources; Sales; Traffic congestion; Active distribution network; Active distributions; Balancing service; Congestions managements; Europe; Flexibility market; Power; Power system; Real-world; Real-world demonstration; Renewable energy source; Stakeholder; Systems operation; Technological innovation; TSO-DSO coordination; Demonstrations","Horizon 2020 Framework Programme, H2020, (824414); Horizon 2020 Framework Programme, H2020","","Institute of Electrical and Electronics Engineers Inc.","Article","Scopus"
"Sakamuri J.N.; Altin M.; Hansen A.D.; Cutululis N.A.","Sakamuri, Jayachandra N. (51864657400); Altin, Müfit (36349745500); Hansen, Anca D. (55945304900); Cutululis, Nicolaos A. (23566386300)","51864657400; 36349745500; 55945304900; 23566386300","Coordinated frequency control from offshore wind power plants connected to multi terminal DC system considering wind speed variation","2017","IET Renewable Power Generation","38","10.1049/iet-rpg.2016.0433","https://www.scopus.com/pages/publications/85025162243?origin=resultslist","Wind Energy Dept., Technical University of Denmark (DTU), Roskilde, 4000, Denmark","Sakamuri J.N., Wind Energy Dept., Technical University of Denmark (DTU), Roskilde, 4000, Denmark; Altin M., Wind Energy Dept., Technical University of Denmark (DTU), Roskilde, 4000, Denmark; Hansen A.D., Wind Energy Dept., Technical University of Denmark (DTU), Roskilde, 4000, Denmark; Cutululis N.A., Wind Energy Dept., Technical University of Denmark (DTU), Roskilde, 4000, Denmark","A coordinated fast primary frequency control scheme from offshore wind power plants (OWPPs) integrated to a three terminal high voltage DC (HVDC) system is proposed in this study. The impact of wind speed variation on the OWPP active power output and thus on the AC grid frequency and DC grid voltage is analysed. The removal of active power support from OWPP after the frequency control action may result in second frequency (and DC voltage) dips. Three different methods to mitigate these secondary effects are proposed, such as, (i) Varying the droop gains of the HVDC converter (ii) Releasing the active power support from OWPP with a ramp rate limiter and (iii) An alternative method for the wind turbine overloading considering rotor speed. The effectiveness of the proposed control scheme is demonstrated on a wind power plant integrated into a three terminal HVDC system developed in DIgSILIENT PowerFactory. The results show that the proposed coordinated frequency control method performs effectively at different wind speeds and minimises the secondary effects on frequency and DC voltage. © The Institution of Engineering and Technology 2016.","","DC power transmission; Offshore wind farms; Wind; Wind power; Active power output; Control schemes; High voltage DC (HVDC); HVDC converters; Multi-terminal dc; Offshore wind power plants; Primary frequency control; Wind speed variations; HVDC power transmission","","","Institution of Engineering and Technology","Article","Scopus"
"Derkenbaeva E.; Halleck Vega S.; Hofstede G.J.; van Leeuwen E.","Derkenbaeva, Erkinai (57305826700); Halleck Vega, Solmaria (56676298700); Hofstede, Gert Jan (55942375000); van Leeuwen, Eveline (12140261100)","57305826700; 56676298700; 55942375000; 12140261100","Positive energy districts: Mainstreaming energy transition in urban areas","2022","Renewable and Sustainable Energy Reviews","174","10.1016/j.rser.2021.111782","https://www.scopus.com/pages/publications/85117694231?origin=resultslist","Wageningen University and Research, Department of Social Sciences, Hollandseweg 1, Wageningen, 6706 KN, Netherlands; UARM, North-West University, 11 Hoffman Street, Potchefstroom, 2351, South Africa; Amsterdam Institute for Advanced Metropolitan Solutions, Kattenburgerstraat 5, B. 027W, JA, 1018, Amsterdam, Netherlands","Derkenbaeva E., Wageningen University and Research, Department of Social Sciences, Hollandseweg 1, Wageningen, 6706 KN, Netherlands, Amsterdam Institute for Advanced Metropolitan Solutions, Kattenburgerstraat 5, B. 027W, JA, 1018, Amsterdam, Netherlands; Halleck Vega S., Wageningen University and Research, Department of Social Sciences, Hollandseweg 1, Wageningen, 6706 KN, Netherlands; Hofstede G.J., Wageningen University and Research, Department of Social Sciences, Hollandseweg 1, Wageningen, 6706 KN, Netherlands, UARM, North-West University, 11 Hoffman Street, Potchefstroom, 2351, South Africa; van Leeuwen E., Wageningen University and Research, Department of Social Sciences, Hollandseweg 1, Wageningen, 6706 KN, Netherlands, Amsterdam Institute for Advanced Metropolitan Solutions, Kattenburgerstraat 5, B. 027W, JA, 1018, Amsterdam, Netherlands","The concept of Positive Energy Districts (PEDs) has emerged to facilitate the energy transition and contribute to climate neutrality through energy efficiency and net zero energy balance. There are several similar concepts with a common goal that a building, neighborhood, or district can meet its energy demands from low-cost, locally available, environmentally friendly renewable sources. However, there is a lack of comprehensiveness and consistency among these existing concepts that could lead to misinterpretations. Therefore, the main aim of this study is to develop a comprehensive view on the PED concept with a focus on urban residential areas in Europe, with insights also being useful for other areas. The analysis is based on a literature review of PEDs and similar concepts, as well as a review of PED practical examples. The literature review compares PEDs based on geographical scale, identifying defining elements and metrics that provide insights on how to define and operationalize PEDs. The study reveals that real-life PEDs tend to go beyond the frames set by the definitions because the concept fails to consider the contextual factors that are inherent in them. To develop a comprehensive concept of PEDs, a Complex Adaptive System approach is taken, also incorporating the Doughnut view, which represents the system holistically. This view is also important in designing a resilient system, as energy systems are often exposed to disruptions. Additionally, the study discusses the PED concept's limitations and key issues, such as electric mobility, that merit more attention. © 2021 The Authors","Complex adaptive systems; Doughnut economics; Energy transition; Europe; Positive energy districts; Renewable energy; Resilience; Urban residential areas","Adaptive systems; Economics; Housing; Complex adaptive systems; Doughnut economic; Energy transitions; Europe; Literature reviews; Positive energies; Positive energy district; Renewable energies; Resilience; Urban residential areas; Energy efficiency","Marie Skłodowska-Curie; Horizon 2020 Framework Programme, H2020; Horizon 2020, (812730); Horizon 2020","This research has received funding from the European Union's Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No 812730 . ","Elsevier Ltd","Review","Scopus"
"Brunke L.; Greeff M.; Hall A.W.; Yuan Z.; Zhou S.; Panerati J.; Schoellig A.P.","Brunke, Lukas (57211668546); Greeff, Melissa (57207819405); Hall, Adam W. (57238534700); Yuan, Zhaocong (57237833100); Zhou, Siqi (56657827900); Panerati, Jacopo (55513211100); Schoellig, Angela P. (23393752900)","57211668546; 57207819405; 57238534700; 57237833100; 56657827900; 55513211100; 23393752900","Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning","2022","Annual Review of Control, Robotics, and Autonomous Systems","814","10.1146/annurev-control-042920-020211","https://www.scopus.com/pages/publications/85129877818?origin=resultslist","Institute for Aerospace Studies, University of Toronto, Toronto, ON, Canada; University of Toronto Robotics Institute, Toronto, ON, Canada; Vector Institute for Artificial Intelligence, Toronto, ON, Canada","Brunke L., Institute for Aerospace Studies, University of Toronto, Toronto, ON, Canada, University of Toronto Robotics Institute, Toronto, ON, Canada, Vector Institute for Artificial Intelligence, Toronto, ON, Canada; Greeff M., Institute for Aerospace Studies, University of Toronto, Toronto, ON, Canada, University of Toronto Robotics Institute, Toronto, ON, Canada, Vector Institute for Artificial Intelligence, Toronto, ON, Canada; Hall A.W., Institute for Aerospace Studies, University of Toronto, Toronto, ON, Canada, University of Toronto Robotics Institute, Toronto, ON, Canada, Vector Institute for Artificial Intelligence, Toronto, ON, Canada; Yuan Z., Institute for Aerospace Studies, University of Toronto, Toronto, ON, Canada, University of Toronto Robotics Institute, Toronto, ON, Canada, Vector Institute for Artificial Intelligence, Toronto, ON, Canada; Zhou S., Institute for Aerospace Studies, University of Toronto, Toronto, ON, Canada, University of Toronto Robotics Institute, Toronto, ON, Canada, Vector Institute for Artificial Intelligence, Toronto, ON, Canada; Panerati J., Institute for Aerospace Studies, University of Toronto, Toronto, ON, Canada, University of Toronto Robotics Institute, Toronto, ON, Canada, Vector Institute for Artificial Intelligence, Toronto, ON, Canada; Schoellig A.P., Institute for Aerospace Studies, University of Toronto, Toronto, ON, Canada, University of Toronto Robotics Institute, Toronto, ON, Canada, Vector Institute for Artificial Intelligence, Toronto, ON, Canada","The last half decade has seen a steep rise in the number of contributions on safe learning methods for real-world robotic deployments from both the control and reinforcement learning communities. This article provides a concise but holistic review of the recent advances made in using machine learning to achieve safe decision-making under uncertainties, with a focus on unifying the language and frameworks used in control theory and reinforcement learning research. It includes learning-based control approaches that safely improve performance by learning the uncertain dynamics, reinforcement learning approaches that encourage safety or robustness, and methods that can formally certify the safety of a learned control policy. As data-and learning-based robot control methods continue to gain traction, researchers must understand when and how to best leverage them in real-world scenarios where safety is imperative, such as when operating in close proximityto humans. We highlight some of the open challenges that will drive the field of robot learning in the coming years, and emphasize the need for realistic physics-based benchmarks to facilitate fair comparisons between control and reinforcement learning approaches.  Copyright © 2022 by Annual Reviews.","Adaptive control; Benchmarks; Learning-based control; Machine learning; Model predictive control; Robot learning; Robotics; Robust control; Safe learning; Safe reinforcement learning","","","","Annual Reviews Inc.","Review","Scopus"
"Hao Y.; Qin X.; Chen Y.; Li Y.; Sun X.; Tao Y.; Zhang X.; Du X.","Hao, Yuanzhe (57193614881); Qin, Xiongpai (25959367100); Chen, Yueguo (21742007700); Li, Yaru (57226847240); Sun, Xiaoguang (57212010442); Tao, Yu (57226846296); Zhang, Xiao (56245879600); Du, Xiaoyong (8552775200)","57193614881; 25959367100; 21742007700; 57226847240; 57212010442; 57226846296; 56245879600; 8552775200","TS-benchmark: A benchmark for time series databases","2021","Proceedings - International Conference on Data Engineering","44","10.1109/ICDE51399.2021.00057","https://www.scopus.com/pages/publications/85112865111?origin=resultslist","Renmin University of China, Key Laboratory of Data Engineering and Knowledge Engineering (MOE), Beijing, China","Hao Y., Renmin University of China, Key Laboratory of Data Engineering and Knowledge Engineering (MOE), Beijing, China; Qin X., Renmin University of China, Key Laboratory of Data Engineering and Knowledge Engineering (MOE), Beijing, China; Chen Y., Renmin University of China, Key Laboratory of Data Engineering and Knowledge Engineering (MOE), Beijing, China; Li Y., Renmin University of China, Key Laboratory of Data Engineering and Knowledge Engineering (MOE), Beijing, China; Sun X., Renmin University of China, Key Laboratory of Data Engineering and Knowledge Engineering (MOE), Beijing, China; Tao Y., Renmin University of China, Key Laboratory of Data Engineering and Knowledge Engineering (MOE), Beijing, China; Zhang X., Renmin University of China, Key Laboratory of Data Engineering and Knowledge Engineering (MOE), Beijing, China; Du X., Renmin University of China, Key Laboratory of Data Engineering and Knowledge Engineering (MOE), Beijing, China","Time series data is widely used in scenarios such as supply chain, stock data analysis, and smart manufacturing. A number of time series database systems have been invented to manage and query large volumes of time series data. We observe that the existing benchmarks of time series databases are focused on workloads of complex analysis such as pattern matching and trend prediction whose performance may be highly affected by the data analysis algorithms, instead of the back-end databases. However, in many real applications of time series databases, people are more interested in the performance metrics such as data injection throughput and query processing time. A benchmark is still required to extensively compare the performance of time series databases in such metrics. We introduce such a benchmark called TS-Benchmark which majorly applies a scenario of device monitoring for wind turbines. A DCGAN-based data generation model is proposed to generate large volumes of time series data from some real time series data. The workloads are categorized into three folds: data loading (in batch), streaming data injection, and historical data access (for typical queries). We implement the benchmark and compare four representative time series databases: InfluxDB, TimescaleDB, Druid and OpenTSDB. The results are reported and analyzed. © 2021 IEEE.","Benchmark; Generative adversarial network; Internet of Things; Time series database","Benchmarking; Data handling; Database systems; Information management; Internet of things; Pattern matching; Search engines; Supply chains; Time series; Time series analysis; Benchmark; Complex analysis; Large volumes; Pattern-matching; Performance; Smart manufacturing; Stock data; Time Series Database; Time-series data; Trend prediction; Query processing","National Natural Science Foundation of China, NNSFC, (U1711261); National Natural Science Foundation of China, NNSFC; National Key Research and Development Program of China, NKRDPC, (2016YFB1000702); National Key Research and Development Program of China, NKRDPC","This work is supported by National Key Research and Development Program (No. 2016YFB1000702) and the National Science Foundation of China under the grant U1711261.","IEEE Computer Society","Conference paper","Scopus"
"Brynjolfsson E.; Rock D.; Syverson C.","Brynjolfsson, Erik (6603955274); Rock, Daniel (57225962751); Syverson, Chad (6602935589)","6603955274; 57225962751; 6602935589","The Productivity J-Curve: How Intangibles Complement General Purpose Technologies†","2021","American Economic Journal: Macroeconomics","543","10.1257/mac.20180386","https://www.scopus.com/pages/publications/85134045780?origin=resultslist","Stanford University, Stanford Digital Economy Laboratory, NBER, 366 Galvez Street, Room 238, Stanford, 94305, CA, United States; University of Pennsylvania, Wharton School, 3730 Walnut St, Philadelphia, 19104, PA, United States; University of Chicago Booth School of Business, NBER, 5807 S. Woodlawn Ave., Chicago, 60637, IL, United States","Brynjolfsson E., Stanford University, Stanford Digital Economy Laboratory, NBER, 366 Galvez Street, Room 238, Stanford, 94305, CA, United States; Rock D., University of Pennsylvania, Wharton School, 3730 Walnut St, Philadelphia, 19104, PA, United States; Syverson C., University of Chicago Booth School of Business, NBER, 5807 S. Woodlawn Ave., Chicago, 60637, IL, United States","General purpose technologies GPTs like AI enable and require significant complementary investments. These investments are often intangible and poorly measured in national accounts. We develop a model that shows how this can lead to underestimation of productivity growth in a new GPTs early years and, later, when the benefits of intangible investments are harvested, productivity growth overestimation. We call this phenomenon the Productivity J-curve. We apply our method to US data and find that adjusting for intangibles related to computer hardware and software yields a TFP level that is 15.9 percent higher than official measures by the end of 2017. (JEL E22, E23, G31, L63, L86) © 2021","","","","","American Economic Association","Article","Scopus"
"Constant C.; Kotarbinski M.; Stefek J.; Green R.; DeGeorge E.; Baring-Gould I.","Constant, Chloe (57889160100); Kotarbinski, Matthew (57889211000); Stefek, Jeremy (57212092199); Green, Rebecca (24171298300); DeGeorge, Elise (57205279520); Baring-Gould, Ian (6508318558)","57889160100; 57889211000; 57212092199; 24171298300; 57205279520; 6508318558","Accelerating ocean-based renewable energy educational opportunities to achieve a clean energy future","2021","Progress in Energy","12","10.1088/2516-1083/ac1509","https://www.scopus.com/pages/publications/85137964559?origin=resultslist","National Renewable Energy Laboratory, 15013 Denver West Parkway, Golden, 80401, CO, United States","Constant C., National Renewable Energy Laboratory, 15013 Denver West Parkway, Golden, 80401, CO, United States; Kotarbinski M., National Renewable Energy Laboratory, 15013 Denver West Parkway, Golden, 80401, CO, United States; Stefek J., National Renewable Energy Laboratory, 15013 Denver West Parkway, Golden, 80401, CO, United States; Green R., National Renewable Energy Laboratory, 15013 Denver West Parkway, Golden, 80401, CO, United States; DeGeorge E., National Renewable Energy Laboratory, 15013 Denver West Parkway, Golden, 80401, CO, United States; Baring-Gould I., National Renewable Energy Laboratory, 15013 Denver West Parkway, Golden, 80401, CO, United States","The United Nations has named 2021-2030 the Decade of Ocean Science for Sustainable Development with goals to 'strengthen the international cooperation needed to develop the scientific research and innovative technologies that can connect ocean science with the needs of society' (IOC 2019 The science we need for the ocean we want: The United Nations decade of ocean science for sustainable development (2021-2030) (Paris) p 24). Important actions that have been identified in support of sustainable development goals include capacity-building, training, and education. This includes educational opportunities for ocean-based renewable energy development in support of a healthy planet and ocean. Offshore wind is experiencing rapid development globally and, while the U.S. offshore wind market is still nascent, it is on the brink of exponential growth based on large cost reductions driven largely by European development and technology advances. Growth is also expected in wave and tidal energy with significant opportunities identified for various distributed markets through the Powering the Blue Economy™ initiative, with longer-term implications for expansion at the utility scale (LiVecchi et al 2019 Powering the blue economy; exploring opportunities for marine renewable energy in maritime markets p 207). In order to expedite progress and maximize benefits to the national, state, and local economies, these development actions will require a broad, diverse, and appropriately trained workforce. The ocean-based renewable energy workforce needs engineers and scientists to develop cost-effective technologies, as well as trade and maritime workers to eventually deploy the technologies at scale. In the United States, educational institutions, state governments, and private developers are taking action to understand job skills and capability requirements and to develop educational and training programs to meet offshore workforce needs; most are focused on offshore wind power, with gaining interest in marine energy. This article explores the workforce requirements of the growing ocean-based renewable energy industry and the current state of education and training programs to meet those requirements in order to identify gaps and make recommendations for further workforce development activities and initiatives. An international view needs to be adopted that incorporates the education and skill needs of early-stage marine energy technologies and evolving offshore wind technologies together with more market-ready offshore renewable energy markets. By accelerating educational development opportunities in ocean-based renewable energy, these growing blue economy markets can deliver significant economic and social benefits. © 2021 IOP Publishing Ltd.","Blue economy; Education; Jobs; Renewable energy; Training; Workforce","Commerce; Cost effectiveness; Cost reduction; Engineering education; International cooperation; Marine education; Oceanography; Offshore oil well production; Offshore power plants; Offshore technology; Planning; Sustainable development; Wind power; Cost-effective technology; Development and technology; Economic and social benefits; Educational institutions; Educational opportunities; Offshore renewable energies; Renewable energy development; Renewable Energy industries; Tidal power","","","Institute of Physics","Review","Scopus"
"Lyu W.; Liu J.","Lyu, Wenjing (57214915857); Liu, Jin (57195475985)","57214915857; 57195475985","Artificial Intelligence and emerging digital technologies in the energy sector","2021","Applied Energy","290","10.1016/j.apenergy.2021.117615","https://www.scopus.com/pages/publications/85113298553?origin=resultslist","MIT Initiative on the Digital Economy, MIT Sloan School of Management, 245 1st Street, Room E94-1522a, Cambridge, 02142, MA, United States; School of Humanities and Social Sciences, Beijing Institute of Technology, Room 411, Central Building, South Street of Zhongguancun, Haidian, 100084, Beijing, China","Lyu W., MIT Initiative on the Digital Economy, MIT Sloan School of Management, 245 1st Street, Room E94-1522a, Cambridge, 02142, MA, United States; Liu J., School of Humanities and Social Sciences, Beijing Institute of Technology, Room 411, Central Building, South Street of Zhongguancun, Haidian, 100084, Beijing, China","Digitalization is an increasingly important direction of energy innovation moving forward. Nevertheless, which emerging digital technology is more crucial during the energy sector transformation stays underexplored. Using a near-universe of online job postings data collected between 2010 and 2019, we show that among the emerging digital technologies (i.e., Artificial Intelligence, Big data, Internet of Things, Robotics, Blockchain technology, and Cloud computing), Artificial Intelligence is the most widely adopted in the energy sector. We further calculate a systematic measure of the emerging digital technology intensity in job skill requirements and show that Artificial Intelligence proves to be the most valuable in the energy sector, either from the employee's or the employer's perspective. Particularly, Artificial Intelligence brings the highest wage premium to the average wage of the adopted energy firm and the local labor market. Meanwhile, Artificial Intelligence contributes the most to energy firms’ performance. Our findings suggest that energy firms should intentionally increase the requirement for Artificial Intelligence in hiring new talents. Our findings also indicate that major energy firms should take the leading role in adopting the emerging digital technologies to enjoy the predominant advantage as early as possible. © 2021","Artificial Intelligence; Digital technologies; Digitalization; General Purpose Technology; Technology adoption; The wage premium","Employment; Wages; Block-chain; Cloud-computing; Digital technologies; Digitalization; Energy; Energy sector; General purpose technologies; Job postings; Technology adoption; The wage premium; artificial intelligence; energy efficiency; performance assessment; technological change; Artificial intelligence","Burning Glass Technologies; National Natural Science Foundation of China, NNSFC, (71774015, 71941026, 71974012); National Natural Science Foundation of China, NNSFC","The authors thank Burning Glass Technologies for providing job postings data. This research is supported by the National Natural Science Foundation of China [grant numbers: 71974012, 71774015, 71941026].","Elsevier Ltd","Article","Scopus"
