"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Publisher","Document Type","Source"
"Velde D.V.D.","Velde, Didier van de (57113312900)","57113312900","European railway reform: Unbundling and the need for coordination","2015","Rail Economics, Policy and Regulation in Europe","14","10.4337/9781783473335","https://www.scopus.com/pages/publications/84957953024?origin=resultslist","Delft University of Technology, Netherlands","Velde D.V.D., Delft University of Technology, Netherlands","[No abstract available]","","","","","Edward Elgar Publishing Ltd.","Book chapter","Scopus"
"Qin Y.; Kwon H.-J.; Howlader M.M.R.; Deen M.J.","Qin, Yiheng (56229918400); Kwon, Hyuck-Jin (35113547700); Howlader, Matiar M. R. (7006611716); Deen, M. Jamal (7005326019)","56229918400; 35113547700; 7006611716; 7005326019","Microfabricated electrochemical pH and free chlorine sensors for water quality monitoring: Recent advances and research challenges","2015","RSC Advances","192","10.1039/c5ra11291e","https://www.scopus.com/pages/publications/84939825927?origin=resultslist","Department of Electrical and Computer Engineering, McMaster University, 1280 Main Street West, Hamilton, L8S 4K1, ON, Canada","Qin Y., Department of Electrical and Computer Engineering, McMaster University, 1280 Main Street West, Hamilton, L8S 4K1, ON, Canada; Kwon H.-J., Department of Electrical and Computer Engineering, McMaster University, 1280 Main Street West, Hamilton, L8S 4K1, ON, Canada; Howlader M.M.R., Department of Electrical and Computer Engineering, McMaster University, 1280 Main Street West, Hamilton, L8S 4K1, ON, Canada; Deen M.J., Department of Electrical and Computer Engineering, McMaster University, 1280 Main Street West, Hamilton, L8S 4K1, ON, Canada","Continuous, real-time monitoring of the level of pH and free chlorine in drinking water is of great importance to public health. However, it is challenging when conventional analytical instruments, such as bulky pH electrodes and expensive free chlorine meters, are used. These instruments have slow response, are difficult to use, prone to interference from operators, and require frequent maintenance. In contrast, microfabricated electrochemical sensors are cheaper, smaller in size, and highly sensitive. Therefore, these sensors are desirable for online monitoring of pH and free chlorine in water. In this review, we discuss different physical configurations of microfabricated sensors. These configurations include potentiometric electrodes, ion-sensitive field-effect transistors, and chemo-resistors/transistors for electrochemical pH sensing. Also, we identified that micro-amperometric sensors are the dominant ones used for free chlorine sensing. We summarized and compared the structure, operation/sensing mechanism, applicable materials, and performance parameters in terms of sensitivity, sensing range, response time and stability of each type of sensor. We observed that novel sensor structures fabricated by solution processing and operated by smart sensing methodologies may be used for developing pH and free chlorine sensors with high performance and low cost. Finally, we highlighted the importance of the concurrent design of materials, fabrication processes, and electronics for future sensors. © The Royal Society of Chemistry 2015.","","Chlorine; Electrochemical electrodes; Electrodes; Field effect transistors; Ion sensitive field effect transistors; Microfabrication; pH effects; Potable water; Water quality; Analytical instrument; Fabrication process; Microfabricated sensors; Performance parameters; Potentiometric electrode; Real time monitoring; Research challenges; Water quality monitoring; Amperometric sensors","Canada Foundation for Innovation; Networks of Centres of Excellence of Canada","","Royal Society of Chemistry","Review","Scopus"
"Olivares D.E.; Mehrizi-Sani A.; Etemadi A.H.; Cañizares C.A.; Iravani R.; Kazerani M.; Hajimiragha A.H.; Gomis-Bellmunt O.; Saeedifard M.; Palma-Behnke R.; Jiménez-Estévez G.A.; Hatziargyriou N.D.","Olivares, Daniel E. (54418997300); Mehrizi-Sani, Ali (22835552000); Etemadi, Amir H. (23060197300); Cañizares, Claudio A. (7005168966); Iravani, Reza (6603478691); Kazerani, Mehrdad (7004006622); Hajimiragha, Amir H. (55405052100); Gomis-Bellmunt, Oriol (15836509300); Saeedifard, Maryam (22836413100); Palma-Behnke, Rodrigo (9633907900); Jiménez-Estévez, Guillermo A. (23008726600); Hatziargyriou, Nikos D. (35548793600)","54418997300; 22835552000; 23060197300; 7005168966; 6603478691; 7004006622; 55405052100; 15836509300; 22836413100; 9633907900; 23008726600; 35548793600","Trends in microgrid control","2014","IEEE Transactions on Smart Grid","2959","10.1109/TSG.2013.2295514","https://www.scopus.com/pages/publications/84903382931?origin=resultslist","Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON N2L 3G1, Canada; Department of Electrical and Computer Engineering, Washington State University, Pullman, WA 99163, United States; Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON M5S 3G4, Canada; GE Digital Energy, Markham, ON L6E 1B3, Canada; Electrical Engineering Research Area, Catalonia Institute for Energy Research (IREC), 08930 Barcelona, Spain; School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN 47906, United States; Center of Energy, School of Engineering, University of Chile, Santiago 412-3, Chile; Department of Electrical and Computer Engineering, National Technical University of Athens (NTUA), Athens 15773, Greece","Olivares D.E., Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON N2L 3G1, Canada; Mehrizi-Sani A., Department of Electrical and Computer Engineering, Washington State University, Pullman, WA 99163, United States; Etemadi A.H., Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON M5S 3G4, Canada; Cañizares C.A., Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON N2L 3G1, Canada; Iravani R., Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON M5S 3G4, Canada; Kazerani M., Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON N2L 3G1, Canada; Hajimiragha A.H., GE Digital Energy, Markham, ON L6E 1B3, Canada; Gomis-Bellmunt O., Electrical Engineering Research Area, Catalonia Institute for Energy Research (IREC), 08930 Barcelona, Spain; Saeedifard M., School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN 47906, United States; Palma-Behnke R., Center of Energy, School of Engineering, University of Chile, Santiago 412-3, Chile; Jiménez-Estévez G.A., Center of Energy, School of Engineering, University of Chile, Santiago 412-3, Chile; Hatziargyriou N.D., Department of Electrical and Computer Engineering, National Technical University of Athens (NTUA), Athens 15773, Greece","The increasing interest in integrating intermittent renewable energy sources into microgrids presents major challenges from the viewpoints of reliable operation and control. In this paper, the major issues and challenges in microgrid control are discussed, and a review of state-of-the-art control strategies and trends is presented; a general overview of the main control principles (e.g., droop control, model predictive control, multi-agent systems) is also included. The paper classifies microgrid control strategies into three levels: primary, secondary, and tertiary, where primary and secondary levels are associated with the operation of the microgrid itself, and tertiary level pertains to the coordinated operation of the microgrid and the host grid. Each control level is discussed in detail in view of the relevant existing technical literature. © 2014 IEEE.","Control; droop control; hierarchical control; microgrid; smart grid","Control; Model predictive control; Multi agent systems; Renewable energy resources; Coordinated operation; Droop control; Hierarchical control; Issues and challenges; Micro grid; Renewable energy source; Smart grid; Technical literature; Electric power distribution","","","Institute of Electrical and Electronics Engineers Inc.","Article","Scopus"
"Audia C.; Berkhout F.; Owusu G.; Quayyum Z.; Agyei-Mensah S.","Audia, Camilla (57189874286); Berkhout, Frans (55425546700); Owusu, George (6701478311); Quayyum, Zahidul (26644997300); Agyei-Mensah, Samuel (15134887200)","57189874286; 55425546700; 6701478311; 26644997300; 15134887200","Loops and Building Blocks: a Knowledge co-Production Framework for Equitable Urban Health","2021","Journal of Urban Health","22","10.1007/s11524-021-00531-4","https://www.scopus.com/pages/publications/85103050764?origin=resultslist","Department of Geography, School of Global Affairs, Faculty of Social Science and Public Policy, King’s College London, Strand, London, WC2R 2LS, United Kingdom; Institute of Statistical, Social and Economic Research (ISSER), University of Ghana, Accra, Legon, Ghana; James P Grant School of Public Health, BRAC University, Dhaka, Bangladesh; Department of Geography and Resource Development, University of Ghana, Accra, Legon, Ghana","Audia C., Department of Geography, School of Global Affairs, Faculty of Social Science and Public Policy, King’s College London, Strand, London, WC2R 2LS, United Kingdom; Berkhout F., Department of Geography, School of Global Affairs, Faculty of Social Science and Public Policy, King’s College London, Strand, London, WC2R 2LS, United Kingdom; Owusu G., Institute of Statistical, Social and Economic Research (ISSER), University of Ghana, Accra, Legon, Ghana; Quayyum Z., James P Grant School of Public Health, BRAC University, Dhaka, Bangladesh; Agyei-Mensah S., Department of Geography and Resource Development, University of Ghana, Accra, Legon, Ghana","This paper sets out a structured process for the co-production of knowledge between researchers and societal partners and illustrates its application in an urban health equity project in Accra, Ghana. The main insight of this approach is that research and knowledge co-production is always partial, both in the sense of being incomplete, as well as being circumscribed by the interests of participating researchers and societal partners. A second insight is that project-bound societal engagement takes place in a broader context of public and policy debate. The approach to co-production described here is formed of three recursive processes: co-designing, co-analysing, and co-creating knowledge. These ‘co-production loops’ are themselves iterative, each representing a stage of knowledge production. Each loop is operationalized through a series of research and engagement practices, which we call building blocks. Building blocks are activities and interaction-based methods aimed at bringing together a range of participants involved in joint knowledge production. In practice, recursive iterations within loops may be limited due of constraints on time, resources, or attention. We suggest that co-production loops and building blocks are deployed flexibly. © 2021, The Author(s).","Co-production of knowledge; Equity; Impact; Policy; Urban health","Ghana; Health Equity; Humans; Knowledge; Policy; Urban Health; adult; article; attention; Ghana; human; urban health; health equity; knowledge; policy","Simon Fraser University, SFU; Wellcome Trust, WT, (209376/Z/17/Z); Wellcome Trust, WT","Funding for this research is by the Pathways to Equitable Healthy Cities project (Wellcome Trust, 209376/Z/17/Z). We acknowledge the inputs of Meghan Winters at Simon Fraser University and our project teams and partners who attended the workshops and engaged in the Pathways to Equitable Healthy Cities Co-Production Working Group.","Springer","Article","Scopus"
"Reames T.G.","Reames, Tony G. (56037310100)","56037310100","Distributional disparities in residential rooftop solar potential and penetration in four cities in the United States","2020","Energy Research and Social Science","110","10.1016/j.erss.2020.101612","https://www.scopus.com/pages/publications/85086033291?origin=resultslist","University of Michigan, School for Environment and Sustainability, 440 Church Street, Ann Arbor, 48109, MI, United States","Reames T.G., University of Michigan, School for Environment and Sustainability, 440 Church Street, Ann Arbor, 48109, MI, United States","Single-family residential rooftop solar adoption in the United States has not occurred equitably across the country, nor across socioeconomic and demographic groups. In response, state and local governments have developed solar equity programs, primarily focused on increasing adoption by low- and moderate-income (LMI) households. This study merged national datasets that estimate rooftop solar potential, the distribution of rooftop solar systems, and census tract- level socioeconomic and demographic characteristics to answer three questions. First, how are spatial distributions of rooftop potential and penetration similar and different across cities? Second, how is rooftop penetration distributed across non-LMI and LMI communities in different cities? Third, how do the relationships between rooftop penetration and local socioeconomic and demographic characteristics, identified as barriers to solar adoption, differ? Using GIS, bivariate and multivariate analyses, these questions were examined in four US cities – Riverside and San Bernardino, California, Washington, DC, and Chicago, Illinois – to understand both universal and distinct local manifestations. Findings include: higher rooftop potential existed in some LMI communities; higher rooftop potential did not necessarily translate to higher rooftop penetration, especially if higher potential was in LMI communities; and beyond income, other socioeconomic and demographic characteristics such as race/ethnicity, limited English proficiency, age of housing stock, and internet access were associated with rooftop penetration. While there remains great potential for expanding rooftop solar to LMI households and communities, understandingexplor the local dynamics of solar potential and penetration may inform better policy development and implementation. © 2020 Elsevier Ltd","Energy justice; Energy transition; Environmental Justice; Solar energy","","United States Department of Energy; United States Department of Energy Office of Energy Efficiency and Renewable Energy Solar Energy Technology Office; United States Government; U.S. Department of Energy, USDOE, (DE-AC36-08GO28308); Office of Energy Efficiency and Renewable Energy, EERE; National Renewable Energy Laboratory, NREL","Funding text 1: The author would like to thank Kim Wolske, Benjamin Sigrin, Meghan Mooney, Annika Todd, Emma Tome, Nicholas Simon, Zach Franklin and other staff of GRID Alternatives for their feedback and assistance. This work was supported by the National Renewable Energy Laboratory, operated by Alliance for Sustainable Energy, LLC, for the United States Department of Energy (DOE) under Contract No. DE-AC36-08GO28308. Funding was provided by the United States Department of Energy Office of Energy Efficiency and Renewable Energy Solar Energy Technology Office. The views expressed in the article do not necessarily represent the views of the DOE or the United States Government. The United States Government retains and the publisher, by accepting the article for publication, acknowledges that the United States Government retains a nonexclusive, paid-up, irrevocable, worldwide license to publish or reproduce the published form of this work, or allow others to do so, for United States Government purposes.; Funding text 2: This work was supported by the National Renewable Energy Laboratory, operated by Alliance for Sustainable Energy, LLC , for the United States Department of Energy (DOE) under Contract No. DE-AC36-08GO28308. Funding was provided by the United States Department of Energy Office of Energy Efficiency and Renewable Energy Solar Energy Technology Office . The views expressed in the article do not necessarily represent the views of the DOE or the United States Government. The United States Government retains and the publisher, by accepting the article for publication, acknowledges that the United States Government retains a nonexclusive, paid-up, irrevocable, worldwide license to publish or reproduce the published form of this work, or allow others to do so, for United States Government purposes. ","Elsevier Ltd","Article","Scopus"
"Xu J.; Ku Z.; Zhang Y.; Chao D.; Fan H.J.","Xu, Jing (59052516500); Ku, Zhiliang (39262120100); Zhang, Yongqi (54387665300); Chao, Dongliang (54580725000); Fan, Hong Jin (7402553723)","59052516500; 39262120100; 54387665300; 54580725000; 7402553723","Integrated Photo-Supercapacitor Based on PEDOT Modified Printable Perovskite Solar Cell","2016","Advanced Materials Technologies","146","10.1002/admt.201600074","https://www.scopus.com/pages/publications/85014493357?origin=resultslist","School of Physical and Mathematical Sciences, Nanyang Technological University, 637371, Singapore; State Key Lab of Advanced Technologies for Materials Synthesis and Processing, Wuhan University of Technology, Wuhan, 430070, China","Xu J., School of Physical and Mathematical Sciences, Nanyang Technological University, 637371, Singapore; Ku Z., State Key Lab of Advanced Technologies for Materials Synthesis and Processing, Wuhan University of Technology, Wuhan, 430070, China; Zhang Y., School of Physical and Mathematical Sciences, Nanyang Technological University, 637371, Singapore; Chao D., School of Physical and Mathematical Sciences, Nanyang Technological University, 637371, Singapore; Fan H.J., School of Physical and Mathematical Sciences, Nanyang Technological University, 637371, Singapore","[No abstract available]","energy conversion; multifunctional devices; perovskite solar cell; photocharging capacitors; supercapacitors","Energy conversion; Perovskite; Supercapacitor; Multifunctional devices; Photocharging; Perovskite solar cells","","","Wiley-Blackwell","Article","Scopus"
"Bekiros S.; Gupta R.; Paccagnini A.","Bekiros, Stelios (8560165000); Gupta, Rangan (18037301200); Paccagnini, Alessia (26428920200)","8560165000; 18037301200; 26428920200","Oil price forecastability and economic uncertainty","2015","Economics Letters","105","10.1016/j.econlet.2015.04.023","https://www.scopus.com/pages/publications/84929400440?origin=resultslist","IPAG Lab, IPAG Business School, 184 Boulevard Saint-Germain, Paris, 75006, France; European University Institute, Department of Economics, Via della Piazzuola, 43, Florence, I-50133, Italy; Department of Economics, University of Pretoria, Pretoria, 0002, South Africa; Department of Economics, Università degli Studi di Milano - Bicocca, Milan, 20126, Italy","Bekiros S., IPAG Lab, IPAG Business School, 184 Boulevard Saint-Germain, Paris, 75006, France, European University Institute, Department of Economics, Via della Piazzuola, 43, Florence, I-50133, Italy; Gupta R., IPAG Lab, IPAG Business School, 184 Boulevard Saint-Germain, Paris, 75006, France, Department of Economics, University of Pretoria, Pretoria, 0002, South Africa; Paccagnini A., Department of Economics, Università degli Studi di Milano - Bicocca, Milan, 20126, Italy","Information on economic policy uncertainty does matter in predicting the change in oil prices. We compare the forecastability of standard, Bayesian and time-varying VAR against univariate models. The time-varying VAR model outranks all alternative models over the period 2007:1-2014:2. © 2015 Elsevier B.V.","Economic policy uncertainty; Forecasting; Oil prices","","Horizon 2020 Framework Programme, H2020, (656136)","","Elsevier","Article","Scopus"
"Farneselli M.; Tei F.; Simonne E.","Farneselli, Michela (14822031500); Tei, Francesco (6602224395); Simonne, Eric (6603933954)","14822031500; 6602224395; 6603933954","RELIABILITY OF PETIOLE SAP TEST FOR N NUTRITIONAL STATUS ASSESSING IN PROCESSING TOMATO","2014","Journal of Plant Nutrition","34","10.1080/01904167.2013.859696","https://www.scopus.com/pages/publications/84892528760?origin=resultslist","Department of Agricultural and Environmental Sciences, University of Perugia, Italy; Horticultural Sciences Department, University of Florida, Gainesville, FL, United States","Farneselli M., Department of Agricultural and Environmental Sciences, University of Perugia, Italy; Tei F., Department of Agricultural and Environmental Sciences, University of Perugia, Italy; Simonne E., Horticultural Sciences Department, University of Florida, Gainesville, FL, United States","A field experiment was carried out in Central Italy to assess the reliability of petiole sap for determining nitrogen (N) status on processing tomato. The crop was fertilized with different N rates and fertigation-irrigation frequencies. Reduced-N and nitrate-N concentrations were determined by lab analyses at 30, 42, 57, 71, and 84 days after transplanting. At each sampling date, the assessment of N nutritional status as resulted by sap test was compared with the actual plant N status as determined by nitrogen nutrition index (NNI). Results from sap test were in agreement with NNI indications for about 2/3 of crop cycle that represents the crucial time for N fertilizer management in tomato. The correlation coefficient of the two methods was, on average 0.854 and it was statistical significant in the whole sampling period. The nitrate concentration in the petiole sap provided a good agreement with laboratory analysis across the full range on N-nitrate (NO3) concentrations examined. © 2014 Copyright Taylor and Francis Group, LLC.","crop N status; fertigation; leaf nitrate; nitrogen; NNI","","","","","Article","Scopus"
"Ambulkar S.; Blackhurst J.; Grawe S.","Ambulkar, Saurabh (56440060900); Blackhurst, Jennifer (6507178682); Grawe, Scott (34267622400)","56440060900; 6507178682; 34267622400","Firm's resilience to supply chain disruptions: Scale development and empirical examination","2015","Journal of Operations Management","1231","10.1016/j.jom.2014.11.002","https://www.scopus.com/pages/publications/84915817493?origin=resultslist","Department of Supply Chain and Information Systems, College of Business, Iowa State University, Ames, 50011, IA, United States","Ambulkar S., Department of Supply Chain and Information Systems, College of Business, Iowa State University, Ames, 50011, IA, United States; Blackhurst J., Department of Supply Chain and Information Systems, College of Business, Iowa State University, Ames, 50011, IA, United States; Grawe S., Department of Supply Chain and Information Systems, College of Business, Iowa State University, Ames, 50011, IA, United States","This paper expands our understanding of factors that contribute to development of firm resilience to supply chain disruptions. In doing so, we operationalize firm resilience to understand how supply chain disruption orientated firms can develop resilience to supply chain disruptions. We find that supply chain disruption orientation alone is not enough for a firm to develop resilience. Supply chain disruption oriented firms require the ability to reconfigure resources or have a risk management resource infrastructure to develop resilience. The way in which supply chain disruption oriented firms develop resilience through resource reconfiguration or risk management infrastructure depends on the context of the disruption as high impact or low impact. In a high impact disruption context, resource reconfiguration fully mediates the relationship between supply chain disruption orientation and firm resilience. In a low impact disruption context, supply chain disruption orientation and risk management infrastructure have a synergistic effect on developing firm resilience.","Resilience; Risk management; Scale development; Supply chain","Supply chain management; Supply chains; Empirical examination; High impact; Low impacts; Management infrastructure; Resilience; Resource reconfigurations; Risk-management resources; Risks management; Scale development; Supply-chain disruptions; Risk management","","","Elsevier B.V.","Article","Scopus"
"De Graaf B.; Dimitriu G.","De Graaf, Beatrice (35955761200); Dimitriu, George (42261488400)","35955761200; 42261488400","""Fighting"" versus ""reconstructing"": Framing the dutch mission in Afghanistan","2015","Strategic Narratives, Public Opinion and War: Winning Domestic Support for the Afghan War","3","10.4324/9781315770734","https://www.scopus.com/pages/publications/84959895474?origin=resultslist","Utrecht University, Netherlands; Netherlands Defence Academy, Netherlands","De Graaf B., Utrecht University, Netherlands; Dimitriu G., Netherlands Defence Academy, Netherlands","[No abstract available]","","","","","Taylor and Francis Inc.","Book chapter","Scopus"
