"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Publisher","Document Type","Source"
"Vadi S.; Bayindir R.; Colak A.M.; Hossain E.","Vadi, Seyfettin (37110185200); Bayindir, Ramazan (6506084880); Colak, Alperen Mustafa (57193863487); Hossain, Eklas (26422996300)","37110185200; 6506084880; 57193863487; 26422996300","A review on communication standards and charging topologies of V2G and V2H operation strategies","2019","Energies","99","10.3390/en12193748","https://www.scopus.com/pages/publications/85073057784?origin=resultslist","Department of Electronics and Automation, Vocational School of Technical Sciences, Gazi University, Ankara, 06500, Turkey; Department of Electrical and Electronics Engineering, Faculty of Technology, Gazi University, Ankara, 06500, Turkey; Department of Advanced Technology and Science for Sustainable Development, Graduate School of Engineering, Nagasaki University, 1-14 Bunkyo, Nagasaki, 852-8521, Japan; Department of Electrical Engineering and Renewable Energy, Oregon Renewable Energy Center (OREC), Oregon Tech, Klamath Falls, 97601, OR, United States","Vadi S., Department of Electronics and Automation, Vocational School of Technical Sciences, Gazi University, Ankara, 06500, Turkey; Bayindir R., Department of Electrical and Electronics Engineering, Faculty of Technology, Gazi University, Ankara, 06500, Turkey; Colak A.M., Department of Advanced Technology and Science for Sustainable Development, Graduate School of Engineering, Nagasaki University, 1-14 Bunkyo, Nagasaki, 852-8521, Japan; Hossain E., Department of Electrical Engineering and Renewable Energy, Oregon Renewable Energy Center (OREC), Oregon Tech, Klamath Falls, 97601, OR, United States","Electric vehicles are the latest form of technology developed to create an environmentally friendly transportation sector and act as an additional energy source to minimize the demand on the grid. This comprehensive research review presents the vehicle-to-grid (V2G) and the vehicle-to-home (V2H) technologies, along with their structures, components, power electronic topologies, communication standards, socket structure, and charging methods. In addition, the charging topologies in V2G and V2H are given in detail. This study is planned as a useful guide for future studies that can be achieved in that it compares the results obtained and analyzes the studies in the literature, finding the advantages and disadvantages of charging topologies in V2G and V2H. © 2019 by the authors.","Battery cycle; Bi-directional charging topologies; Communication standards; Vehicle-to-grid (V2G); Vehicle-to-home (V2H)","Charging (batteries); Electric power transmission networks; Topology; Vehicle-to-grid; Vehicles; Battery cycle; Bi-directional; Communication standards; Comprehensive research; Electronic topologies; Operation strategy; Transportation sector; Vehicle to Grid (V2G); Vehicle to vehicle communications","Oregon Renewable Energy Center","The authors would like to express their sincere gratitude to Oregon Renewable Energy Center (OREC) for their assistance with the experimentation required during the course of this research. Their contributions have greatly improved the content of the manuscript.","MDPI AG","Review","Scopus"
"Howe M.S.","Howe, M.S. (7202129488)","7202129488","Indirect combustion noise","2010","Journal of Fluid Mechanics","93","10.1017/S0022112010002466","https://www.scopus.com/pages/publications/77957166038?origin=resultslist","College of Engineering, Boston University, Boston, MA 02215, United States","Howe M.S., College of Engineering, Boston University, Boston, MA 02215, United States","An analysis is made of the noise generated during the passage of quiescent temperature/entropy inhomogeneities through regions of rapidly accelerated mean flow. This is an important source of jet engine core noise. Bake et al. (J. Sound Vib., vol. 326, 2009, pp. 574-598) have used an entropy wave generator coupled with a converging-diverging nozzle to perform a series of canonical measurements of the sound produced when the inhomogeneity consists of a nominally uniform slug of hot gas. When flow separation and jet formation occur in the diffuser section of the nozzle, it is shown in this paper that the vortex sound generated by the jet is strongly correlated with the entropy noise produced by the slug and that the overall noise level is significantly reduced. Streamwise stretching of the hot slug during high subsonic acceleration into the nozzle and the consequent attenuation of the entropy gradient in the nozzle are shown to significantly decrease the effective rate at which indirect combustion noise increases with the Mach number. Numerical predictions indicate that this is responsible for the peak observed by Bake et al. in the entropy-generated sound pressure at a nozzle Mach number near 0.6. © 2010 Cambridge University Press.","aeroacoustics; gas dynamics; instability","Aeroacoustics; Aerodynamics; Combustion; Entropy; Flow separation; Gas dynamics; Mach number; Nozzles; Plasma stability; Converging-diverging nozzles; Entropy gradients; Entropy waves; Inhomogeneities; Jet formation; Measurements of; Numerical predictions; Sound pressures; acoustics; aerodynamics; combustion; entropy; noise; numerical model; Acoustic noise","","","Cambridge University Press","Article","Scopus"
"Dezitter F.; Grandin A.; Brenguier J.L.; Hervy F.; Schlager H.; Villedieu P.; Zalamansky G.","Dezitter, F. (36573180000); Grandin, A. (56358933300); Brenguier, J.L. (55896920900); Hervy, F. (55345775000); Schlager, H. (7006747416); Villedieu, P. (56293807300); Zalamansky, G. (6602431660)","36573180000; 56358933300; 55896920900; 55345775000; 7006747416; 56293807300; 6602431660","HAIC (high altitude ice crystals)","2013","5th AIAA Atmospheric and Space Environments Conference","84","10.2514/6.2013-2674","https://www.scopus.com/pages/publications/84883471071?origin=resultslist","Airbus; Meteo, France; DGA; DLR; ONERA; Dassault-Aviation","Dezitter F., Airbus; Grandin A., Airbus; Brenguier J.L., Meteo, France; Hervy F., DGA; Schlager H., DLR; Villedieu P., ONERA; Zalamansky G., Dassault-Aviation","Commercial aircraft have been experiencing in-service events while flying in the vicinity of deep convective clouds since at least the early 1990s. Heated probes and engines are the areas of aircraft most prone to mixed phase and glaciated icing threat. In anticipation of regulation changes according to mixed phase and glaciated icing conditions, the HAIC project will provide to the European Aeronautical industry Acceptable Means of Compliance (numerical and test capabilities) and appropriate ice particle detection/awareness technologies for use on-board of commercial aircraft in order to enhance safety when an aircraft is flying in such weather conditions. HAIC will achieve high Technology Readiness Level (TRL6) for technologies (radar, detector) and capabilities (numerical models and tools, test facilities) developed as part of the project HAIC is a 4 years integrated project comprising 37 partners representing the European stakeholders of the Aeronautical industry from 14 European countries.HAIC will also develop international cooperation and collaboration thanks to the involvement of key international organizations and companies as partner of the project or through the advisory board. Finally, HAIC will complement the work performed as part of existing international projects and working groups, notably EASA-HighIWC, HIWC, Engine Icing Working Group and Ice Crystals Consortium, and pave the way towards the ACARE 2020 and Flight Path 2050 safety objectives.","","Accident prevention; Aircraft; Engines; International cooperation; Mobile telecommunication systems; Advisory boards; Commercial aircraft; Deep convective clouds; Icing conditions; Integrated project; International organizations; International projects; Safety objectives; Ice","FP7/2007, (ACP2-GA-2012-314314); Seventh Framework Programme, FP7","The research leading to these results has received funding from the European Union Seventh Framework Programme (FP7/2007-2013) under grant agreement n°ACP2-GA-2012-314314.","","Conference paper","Scopus"
"Deprés D.; Reijasse P.; Dussauge J.P.","Deprés, D. (16552115700); Reijasse, P. (56004517600); Dussauge, J.P. (6603741487)","16552115700; 56004517600; 6603741487","Analysis of unsteadiness in afterbody transonic flows","2004","AIAA Journal","104","10.2514/1.7000","https://www.scopus.com/pages/publications/10944274109?origin=resultslist","ONERA, 92190 Meudon, France; Inst. Univ. Syst. Tech./Industriels, 13003 Marseille, France; Fundamental Aerodynamics Department, 8 rue des Vertugadins, France; Unite Mixte de Recherche, Ctr. Natl. de la Rech. Scientifique, Univ.́ de Provence No. 6595, 12 ave. Général Lederc, France","Deprés D., ONERA, 92190 Meudon, France, Fundamental Aerodynamics Department, 8 rue des Vertugadins, France; Reijasse P., ONERA, 92190 Meudon, France, Fundamental Aerodynamics Department, 8 rue des Vertugadins, France; Dussauge J.P., Inst. Univ. Syst. Tech./Industriels, 13003 Marseille, France, Unite Mixte de Recherche, Ctr. Natl. de la Rech. Scientifique, Univ.́ de Provence No. 6595, 12 ave. Général Lederc, France","Separated flows behind afterbodies in the high subsonic regime are investigated experimentally. Measurements of mean and unsteady wall pressure have been performed in a transonic wind tunnel on axisymmetric configurations with a propulsive jet. It is found that the distance between the base plane and the nozzle exit section, namely, the rear-body extension, is a determining parameter. For a long enough rear-body extension, the separated flow reattaches at the end of the external nozzle wall. The spectra in the reattachment region exhibit a weakly defined maximum, which is associated with the shear layer vortices impinging the downstream surface. For a short rear-body extension, the reattachment on the downstream nozzle wall is not possible. The spectra in the whole region exhibit a well-defined periodicity that corresponds to the formation of large-scale structures in the wake, as observed for bluff bodies. This is confirmed by a two-point correlation analysis of the turbulent signals, which shows that the flow is dominated by a highly coherent antisymmetric mode at the vortex shedding frequency.","","Boundary layer flow; Correlation methods; Drop breakup; Reynolds number; Subsonic flow; Transducers; Turbulent flow; Shock wave disturbances; Strouhal numbers; Transonic wind tunnel; Vortex shedding frequency; Transonic flow","","","American Institute of Aeronautics and Astronautics Inc.","Article","Scopus"
"Dallinger D.; Krampe D.; Wietschel M.","Dallinger, David (37065826600); Krampe, Daniel (40361248700); Wietschel, Martin (6602655666)","37065826600; 40361248700; 6602655666","Vehicle-to-grid regulation reserves based on a dynamic simulation of mobility behavior","2011","IEEE Transactions on Smart Grid","238","10.1109/TSG.2011.2131692","https://www.scopus.com/pages/publications/79957683037?origin=resultslist","Fraunhofer Institute for Systems and Innovations Research, Karlsruhe, Germany","Dallinger D., Fraunhofer Institute for Systems and Innovations Research, Karlsruhe, Germany; Krampe D., Fraunhofer Institute for Systems and Innovations Research, Karlsruhe, Germany; Wietschel M., Fraunhofer Institute for Systems and Innovations Research, Karlsruhe, Germany","This study establishes a new approach to analyzing the economic impacts of vehicle-to-grid (V2G) regulation reserves by simulating the restrictions arising from unpredictable mobility requests by vehicle users. A case study for Germany using average daily values (in the following also called the static approach) and a dynamic simulation including different mobility use patterns are presented. Comparing the dynamic approach with the static approach reveals a significant difference in the power a vehicle can offer for ancillary services and provides insights into the necessary size of vehicle pools and possible adaptations required in the regulation market to render V2G feasible. In the static approach it is shown that negative secondary control is economically the most beneficial for electric vehicles because it offers the highest potential for charging with low-priced energy from negative regulation reserves. A Monte Carlo simulation using stochastic mobility behavior results in a 40% reduction of the power available for regulation compared to the static approach. Because of the high value of power in the regulation market, this finding has a strong impact on the resulting revenues. Further, we demonstrate that, for the data used, a pool size of 10000 vehicles seems reasonable to balance the variation in each individual's driving behavior. In the case of the German regulation market, which uses monthly bids, a daily or hourly bid period is recommended. This adaptation would be necessary to provide individual regulation assuming that the vehicles are primarily used for mobility reasons and cannot deliver the same amount of power every hour of the week. © 2011 IEEE.","Ancillary services; demand side management; electric vehicles; regulation reserves; vehicle-to-grid","Automobiles; Commerce; Computer simulation; Electric vehicles; Lakes; Monte Carlo methods; Ancillary service; demand side management; Driving behavior; Dynamic simulation; Economic impacts; Germany; Mobility behavior; Monte Carlo Simulation; Regulation markets; regulation reserves; Secondary control; Static approach; Vehicle to grids; Vehicle users; Behavioral research","Fraunhofer Systemforschung Elektromobilität; Bundesministerium für Bildung und Forschung, BMBF, (13N10599, TSG-00115-2010)","Funding text 1: This work was cofinanced under a grant of the German Federal Ministry of Education and Research (BMBF) within the project “Fraunhofer Systemforschung Elektromobilität.” The authors would like to thank Prof. Tomas Gómez, Chris Marnay, and Gillian Bowman-Köhler for discussions and critical reading of the manuscript.; Funding text 2: Manuscript received September 06, 2010; revised January 12, 2011 and February 26, 2011; accepted March 02, 2011. Date of publication April 29, 2011; date of current version May 25, 2011. This work was supported by the German Federal Ministry of Education and Research (BMBF) as part of the project “Fraunhofer Systems Research Electric Mobility” under Project 13N10599. Paper no. TSG-00115-2010.","","Article","Scopus"
"Moase W.H.; Brear M.J.; Manzie C.","Moase, William H. (18437877000); Brear, Michael J. (6602248941); Manzie, Chris (12791337200)","18437877000; 6602248941; 12791337200","The forced response of choked nozzles and supersonic diffusers","2007","Journal of Fluid Mechanics","101","10.1017/S0022112007006647","https://www.scopus.com/pages/publications/34547784973?origin=resultslist","Department of Mechanical and Manufacturing Engineering, University of Melbourne, Melbourne, VIC 3010, Australia","Moase W.H., Department of Mechanical and Manufacturing Engineering, University of Melbourne, Melbourne, VIC 3010, Australia; Brear M.J., Department of Mechanical and Manufacturing Engineering, University of Melbourne, Melbourne, VIC 3010, Australia; Manzie C., Department of Mechanical and Manufacturing Engineering, University of Melbourne, Melbourne, VIC 3010, Australia","The response of choked nozzles and supersonic diffusers to one-dimensional flow perturbations is investigated. Following previous arguments in the literature, small flow perturbations in a duct of spatially linear steady velocity distribution are determined by solution of a hyper-geometric differential equation. A set of boundary conditions is then developed that extends the existing work to a nozzle of arbitrary geometry. This analysis accommodates the motion of a plane shock wave and makes no assumption about the nozzle compactness. Numerical simulations of the unsteady, quasi-one-dimensional Euler equations are performed to validate this analysis and also to indicate the conditions under which the perturbations remain approximately linear. The nonlinear response of compact choked nozzles and supersonic diffusers is also investigated. Simple analyses are performed to determine the reflected and transmitted waveforms, as well as conditions for unchoke, 'over-choke' and unstart. This analysis is also supported with results from numerical simulations of the Euler equations. © Cambridge University Press 2007.","","Boundary conditions; Computer simulation; Differential equations; Ducts; Fluid dynamics; Geometry; Nozzles; Perturbation techniques; Shock waves; Supersonic flow; Unsteady flow; Boundary conditions; Computer simulation; Differential equations; Ducts; Geometry; Nozzles; Perturbation techniques; Shock waves; Supersonic flow; Unsteady flow; Hyper-geometric differential equation; Supersonic diffusers; boundary condition; Eulerian analysis; perturbation; steady flow; unsteady flow; Fluid dynamics","","","Cambridge University Press","Article","Scopus"
"Flaszynski P.; Doerffer P.; Szwaba R.; Kaczynski P.; Piotrowicz M.","Flaszynski, Pawel (16229969300); Doerffer, Piotr (6603477705); Szwaba, Ryszard (6505512270); Kaczynski, Piotr (56946660900); Piotrowicz, Michal (57188975509)","16229969300; 6603477705; 6505512270; 56946660900; 57188975509","Shock wave boundary layer interaction on suction side of compressor profile in single passage test section","2015","Journal of Thermal Science","27","10.1007/s11630-015-0816-9","https://www.scopus.com/pages/publications/84946410014?origin=resultslist","The Szewalski Institute of Fluid-Flow Machinery Polish Academy of Sciences (IMP PAN), Fiszera 14, Gdansk, Poland","Flaszynski P., The Szewalski Institute of Fluid-Flow Machinery Polish Academy of Sciences (IMP PAN), Fiszera 14, Gdansk, Poland; Doerffer P., The Szewalski Institute of Fluid-Flow Machinery Polish Academy of Sciences (IMP PAN), Fiszera 14, Gdansk, Poland; Szwaba R., The Szewalski Institute of Fluid-Flow Machinery Polish Academy of Sciences (IMP PAN), Fiszera 14, Gdansk, Poland; Kaczynski P., The Szewalski Institute of Fluid-Flow Machinery Polish Academy of Sciences (IMP PAN), Fiszera 14, Gdansk, Poland; Piotrowicz M., The Szewalski Institute of Fluid-Flow Machinery Polish Academy of Sciences (IMP PAN), Fiszera 14, Gdansk, Poland","The shock wave boundary layer interaction on the suction side of transonic compressor blade is one of the main objectives of TFAST project (Transition Location Effect on Shock Wave Boundary Layer Interaction). In order to investigate the flow structure on the suction side of a profile, a design of a generic test section in linear transonic wind tunnel was proposed. The experimental and numerical results for the flow structure investigations are shown for the flow conditions as the existing ones on the suction side of the compressor profile. Near the sidewalls the suction slots are applied for the corner flow structure control. It allows to control the Axial Velocity Density Ratio (AVDR), important parameter for compressor cascade investigations. Numerical results for Explicit Algebraic Reynolds Stress Model with transition modeling are compared with oil flow visualization, schlieren and Pressure Sensitive Paint. Boundary layer transition location is detected by Temperature Sensitive Paint. © 2015, Science Press, Institute of Engineering Thermophysics, CAS and Springer-Verlag Berlin Heidelberg.","compressor profile; laminar-turbulent transition; shock wave; transonic flow","Compressors; Flow structure; Hypersonic flow; Paint; Reynolds number; Shock waves; Structural design; Transonic flow; Turbulent flow; Wind tunnels; Axial velocity-density; Boundary layer transitions; Explicit algebraic reynolds stress models; Laminar turbulent transitions; Pressure sensitive paints; Shock wave boundary layer interactions; Temperature sensitive paint; Transonic compressor blades; Boundary layers","","","Science Press","Article","Scopus"
"Palm J.; Gustafsson S.","Palm, Jenny (23036198800); Gustafsson, Sara (6505789897)","23036198800; 6505789897","Barriers to and enablers of district cooling expansion in Sweden","2018","Journal of Cleaner Production","13","10.1016/j.jclepro.2017.10.141","https://www.scopus.com/pages/publications/85038820492?origin=resultslist","Lund University, International Institute for Industrial Environmental Economics (IIIEE), Box 196, Lund, SE-221 00, Sweden; Linköping University, Department of Thematic Studies – Technology and Social Change, Linköping, 581 83, Sweden; Linköping University, IEI/ Environmental Technology and Management, Linköping, 581 83, Sweden","Palm J., Lund University, International Institute for Industrial Environmental Economics (IIIEE), Box 196, Lund, SE-221 00, Sweden, Linköping University, Department of Thematic Studies – Technology and Social Change, Linköping, 581 83, Sweden; Gustafsson S., Linköping University, IEI/ Environmental Technology and Management, Linköping, 581 83, Sweden","Although Sweden is a northern country with fairly low outdoor temperatures most of the year, its district cooling (DC) systems are expected to expand. Some actors claim that there is potential for at least a doubling of DC in Sweden. One reason for this is that demand for cooling increases with the increased use of electronics such as computers, resulting in higher indoor temperatures from waste heat production. Although DC should have considerable growth potential based on its convenience and climate benefits, its growth has been surprisingly slow. This article discusses the barriers to and enablers of DC expansion. We examine how energy companies, property owners, and tenants perceive the barriers to and enablers of installing and using DC. How do these actors view the present and future need for cooling? What would make DC more attractive according to these actors? These questions were studied using surveys and in-depth interviews. The results indicate that lack of information is the most important current barrier to DC expansion, a barrier that could easily be addressed, making information an enabler of DC. Earlier grid-based energy systems in Sweden were established through public–private collaboration, and such collaboration could promote the ongoing expansion of DC. For example, municipalities played an important role when district heating was built, but this has not been the case for DC. Another possible enabler is the eco-labelling of DC, which has so far played a minor role in the Swedish system. © 2017 Elsevier Ltd","Barriers; District cooling; Large technical systems; Sustainable energy; Urban","Cooling systems; District heating; Expansion; Space heating; Waste heat; Barriers; District cooling; Large technical systems; Sustainable energy; Urban; Electronic cooling","Swedish District Association; Energimyndigheten, (39607-1); Energimyndigheten","This work was supported by the Swedish District Association and the Swedish Energy Agency through grant number 39607-1 .","Elsevier Ltd","Article","Scopus"
"Seitz A.; Bijewitz J.; Kaiser S.; Wortmann G.","Seitz, Arne (7006821345); Bijewitz, Julian (56418467400); Kaiser, Sascha (56417224400); Wortmann, Guido (56432437500)","7006821345; 56418467400; 56417224400; 56432437500","Conceptual investigation of a propulsive fuselage aircraft layout","2014","Aircraft Engineering and Aerospace Technology","33","10.1108/AEAT-06-2014-0079","https://www.scopus.com/pages/publications/84913533778?origin=resultslist","Visionary Aircraft Concepts, Bauhaus Luftfahrt e.V., Munich, Germany; Munich Aerospace e.V, Munich, Germany","Seitz A., Visionary Aircraft Concepts, Bauhaus Luftfahrt e.V., Munich, Germany; Bijewitz J., Visionary Aircraft Concepts, Bauhaus Luftfahrt e.V., Munich, Germany; Kaiser S., Visionary Aircraft Concepts, Bauhaus Luftfahrt e.V., Munich, Germany; Wortmann G., Munich Aerospace e.V, Munich, Germany","Purpose :The purpose of this paper is the multi-disciplinary conceptual investigation of a propulsive fuselage (PF) aircraft layout allowing for new performance synergies through closely coupled propulsion/airframe integration. The discussed aircraft layout facilitates the ingestion of the fuselage boundary layer and the utilization of wake filling, thus eliminating a significant share of fuselage drag.; Findings : During benchmarking, it was found that a best and balanced design for the proposed PF aircraft layout yields an increase in vehicular efficiency of approximately 10 per cent compared to the advanced conventional reference aircraft.; Design/methodology/approach : Based on consistent book-keeping standards for conventionally installed and highly integrated propulsion systems, key aspects of conceptualisation regarding airframe and propulsion system are presented. As a result of this, a PF aircraft configuration is proposed featuring a fuselage fan power plant in conjunction with two under-wing podded power plants. Parametric models for integrated aircraft and propulsion system sizing and performance analysis are discussed that are suitable for the consistent mapping of the characteristics intrinsic to a PF layout. In an initial benchmarking exercise, the vehicular efficiency potentials of the previously identified PF configuration are evaluated against an advanced conventional reference aircraft.; Practical implications : The paper gives the reader an idea for the efficiency potentials achievable through a PF aircraft configuration, as well as guidelines for aircraft sizing and integrational aspects. It may serve as a basis for advanced studies in the future.; Originality/value :The conceptual investigation of the PF concept idea, contributes to establishing the initial technical feasibility of this novel approach to synergistic propulsion system integration. The methods presented in this paper allow for the multi-disciplinary conceptual design sizing of a PF aircraft. © Emerald Group Publishing Limited.","Aircraft wake filling; Boundary layer ingestion; Conceptual aircraft design; Distributed propulsion; Propulsive fuselage","Aircraft plants; Fighter aircraft; Gas turbines; Ingestion (engines); Propulsive wing aircraft; Structural dynamics; Aircraft configurations; Aircraft wake filling; Aircraft wakes; Boundary layer ingestion; Conceptual aircraft designs; Distributed propulsions; Performance; Propulsion system; Propulsive fuselage; Reference aircraft; Benchmarking","European Commission, EC; Seventh Framework Programme, FP7, (323013); Seventh Framework Programme, FP7","","Emerald Publishing","Article","Scopus"
"Wierman A.; Liu Z.; Liu I.; Mohsenian-Rad H.","Wierman, Adam (8148116600); Liu, Zhenhua (55714470900); Liu, Iris (56272642900); Mohsenian-Rad, Hamed (54400374100)","8148116600; 55714470900; 56272642900; 54400374100","Opportunities and challenges for data center demand response","2015","2014 International Green Computing Conference, IGCC 2014","141","10.1109/IGCC.2014.7039172","https://www.scopus.com/pages/publications/84924365614?origin=resultslist","Computing and Mathematical Sciences, California Institute of Technology, United States; Electrical Engineering, University of California at Riverside, United States","Wierman A., Computing and Mathematical Sciences, California Institute of Technology, United States; Liu Z., Computing and Mathematical Sciences, California Institute of Technology, United States; Liu I., Computing and Mathematical Sciences, California Institute of Technology, United States; Mohsenian-Rad H., Electrical Engineering, University of California at Riverside, United States","This paper surveys the opportunities and challenges in an emerging area of research that has the potential to significantly ease the incorporation of renewable energy into the grid as weil as electric power peak-load shaving: data center demand response. Data center demand response sits at the intersection of two growing fields: energy efficient data centers and demand response in the smart grid. As such, the literature related to data center demand response is sprinkled across multiple areas and worked on by diverse groups. Our goal in this survey is to demonstrate the potential of the field while also summarizing the progress that has been made and the challenges that remain. © 2014 IEEE.","","Electric power transmission networks; Energy efficiency; Smart power grids; Surveys; Data centers; Demand response; Electric power; Energy efficient; Multiple areas; Paper surveys; Renewable energies; Smart grid; Green computing","National Science Foundation, NSF, (1319798); National Science Foundation, NSF","","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Scopus"
