"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Publisher","Document Type","Source"
"Ibrahim H.; Debicki M.; Rahwan T.; Zaki Y.","Ibrahim, Hazem (58159143100); Debicki, Mikolaj (58796014200); Rahwan, Talal (10239828100); Zaki, Yasir (25925596000)","58159143100; 58796014200; 10239828100; 25925596000","Big Tech Dominance Despite Global Mistrust","2024","IEEE Transactions on Computational Social Systems","6","10.1109/TCSS.2023.3339183","https://www.scopus.com/pages/publications/85181559912?origin=resultslist","New York University Abu Dhabi, Abu Dhabi, 129188, United Arab Emirates","Ibrahim H., New York University Abu Dhabi, Abu Dhabi, 129188, United Arab Emirates; Debicki M., New York University Abu Dhabi, Abu Dhabi, 129188, United Arab Emirates; Rahwan T., New York University Abu Dhabi, Abu Dhabi, 129188, United Arab Emirates; Zaki Y., New York University Abu Dhabi, Abu Dhabi, 129188, United Arab Emirates","The technological and online experiences of billions worldwide are dominated by a handful of companies known as 'Big Tech.' Despite this being a cause for concern in governmental, economic, and ethical spheres, the literature lacks a study exploring the impact of public scandals on, and the global sentiment toward, Big Tech. Here, we quantify the power of Big Tech by analyzing their acquisitions, market capitalization, and number of monthly active users. Moreover, we utilize the synthetic control method to estimate the effect of public scandals on the stock price of two Big Tech companies, and find that they had no lasting effect. We also analyze the number of tweets mentioning these scandals, and find that they quickly fade from the spotlight. To explore public sentiment, we survey 5300 participants across 25 countries, and find that those from countries with lower digital literacy and more authoritarian regimes are more trusting of Big Tech. Furthermore, we find that one in three feels they lack control over the data collected about them, and one in four feels that Big Tech knows what they are thinking, knows more about them than their best friend, and may even be secretly listening to their conversations. Additionally, one in four feels addicted to Big Tech products, have no choice but to use them, and wishes there were more companies to choose from. These findings highlight the adverse effect of the oligopolistic nature of Big Tech on consumer choice and help inform policy-makers aiming to curb their dominance.  © 2014 IEEE.","Policy; technology; trust","Social sciences computing; Control methods; Index; Market capitalization; Power; Privacy; Regulation; Social networking (online); Synthetic control; Technology; Trust; Social networking (online)","","","Institute of Electrical and Electronics Engineers Inc.","Article","Scopus"
"Russell J.H.; Patterson D.","Russell, Jacob Hale (59130877400); Patterson, Dennis (16422143600)","59130877400; 16422143600","Post-Truth and the Rhetoric of “Following the Science”","2023","Critical Review","12","10.1080/08913811.2023.2231782","https://www.scopus.com/pages/publications/85167696935?origin=resultslist","","","Populists are often cast as deniers of rationality, creators of a climate of “post-truth,” and valuing tribe over truth and the rigors of science. Their critics claim the authority of rationality and empirical facts. Yet the critics no less than populists enable an environment of spurious claims and defective argumentation. This is especially true in the realm of science. An important case study is the account of scientific trust offered by a leading public intellectual and historian of science, Naomi Oreskes, and the misapplication of that theory during the coronavirus pandemic. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","conspiracy theories; coronavirus; elite; misinformation; post-truth; rationality; science","","","","Routledge","Article","Scopus"
"","","","Global change research needs and opportunities for 2022-2031","2021","Global Change Research Needs and Opportunities for 2022-2031","18","10.17226/26055","https://www.scopus.com/pages/publications/85117993683?origin=resultslist","","","The US Global Change Research Program (USGCRP) is a collection of 13 Federal entities charged by law to assist the United States and the world to understand, assess, predict, and respond to human-induced and natural processes of global change. Global Change Research Needs and Opportunities for 2022-2031 advises the USGCRP on how best to meet its mandate in light of climate change impacts happening today and projected into the future. This report identifies critical climate change risks, research needed to support decision-making relevant to managing these risks, and opportunities for the USGCRP's participating agencies and other partners to advance these research priorities over the next decade. © 2021 by the National Academy of Sciences. All rights reserved.","","","","","National Academies Press","Book","Scopus"
"Noller J.","Noller, Jörg (55329074100)","55329074100","Connectionism about human agency: responsible AI and the social lifeworld","2025","AI and Society","5","10.1007/s00146-024-02133-5","https://www.scopus.com/pages/publications/85212103870?origin=resultslist","LMU Munich, Munich, Germany","Noller J., LMU Munich, Munich, Germany","This paper analyzes responsible human–machine interaction concerning artificial neural networks (ANNs) and large language models (LLMs) by considering the extension of human agency and autonomy by means of artificial intelligence (AI). Thereby, the paper draws on the sociological concept of “interobjectivity,” first introduced by Bruno Latour, and applies it to technologically situated and interconnected agency. Drawing on Don Ihde’s phenomenology of human-technology relations, this interobjective account of AI allows to understand human–machine interaction as embedded in the social lifeworld. Finally, the paper develops a connectionist account of responsible AI, thereby focusing on patterns such as social goals and actions. © The Author(s) 2024.","Artificial intelligence; Bias; Lifeworld; Objectivity; Opacity; Responsibility; Subjectivity","Bias; Connectionism; Human agency; Human machine interaction; Lifeworld; Neural-networks; Objectivity; Paper analysis; Responsibility; Subjectivity","","","Springer Science and Business Media Deutschland GmbH","Article","Scopus"
"Jain S.K.; Kumar P.","Jain, Sharad K. (29767443800); Kumar, Pradeep (58266365900)","29767443800; 58266365900","Environmental flows in India: Towards sustainable water management; [Débits environnementaux en Inde: Vers une gestion durable de l'eau]","2014","Hydrological Sciences Journal","62","10.1080/02626667.2014.896996","https://www.scopus.com/pages/publications/84901689441?origin=resultslist","Water Resources Systems Division, National Institute of Hydrology, Roorkee 247667, Uttarakhand, India","Jain S.K., Water Resources Systems Division, National Institute of Hydrology, Roorkee 247667, Uttarakhand, India; Kumar P., Water Resources Systems Division, National Institute of Hydrology, Roorkee 247667, Uttarakhand, India","The strong wet and dry seasons of tropical monsoon hydrology in India necessitate development of storage and flow diversion schemes for utilization of water to meet various social and economic needs. However, the river valley schemes may cause adverse flow-related impacts due to storage, flow diversion, tunnelling and spoil disposal. There may be critical reaches in which altered flows are not able to sustain the river channel ecology and riparian environment that existed prior to implementation of the storage and diversion schemes. In the past, environmental flows in India have usually been understood as the minimum flow to be released downstream from a dam as compensation for riparian rights, without considering the impacts on the river ecosystem. Rivers in India have been significantly influenced by anthropogenic activities over the past 60 years and have great social and religious significance to the vast population. This paper explores various aspects of past, present and future environmental flow assessment (EFA) in India highlighted by case studies from rivers across the nation. It demonstrates that multidisciplinary studies requiring expertise from a range of fields are needed for EFA, and that environmental flows are necessary for aquatic ecosystems to remain in a healthy state and for the sustainable use of water resources. The major focus areas for the development of EFA research in India are the creation of a shareable database for hydrological, ecological and socioeconomic data, developing hydrology-ecology relationships, evaluation of ecosystem services, addressing pollution due to anthropogenic activities and promotion of research on EFA. At the same time, efforts will be needed to develop new methods or refine existing methods for India.Editor D. Koutsoyiannis; Guest editor M. AcremanCitation Jain, S.K. and Kumar, P. 2014. Environmental flows in India: towards sustainable water management. Hydrological Sciences Journal, 59 (3-4), 751-769. © 2014 © 2014 IAHS Press.","ecosystem; environmental flow; India; sustainable water management","India; Digital storage; Ecosystems; Hydrology; Research; River diversion; River pollution; Rivers; Water conservation; Water management; Anthropogenic activity; Environmental flow; Environmental flow assessments; India; Riparian environments; Socio-economic data; Sustainable water management; Wet and dry seasons; aquatic ecosystem; environmental assessment; environmental monitoring; flow pattern; river channel; river flow; sustainable development; water management; water resource; water use; Environmental management","","","Taylor and Francis Ltd.","Article","Scopus"
"Dimatteo L.A.; Poncibò C.; Cannarsa M.","Dimatteo, Larry A. (8346229200); Poncibò, Cristina (16067308800); Cannarsa, Michel (57191386622)","8346229200; 16067308800; 57191386622","The Cambridge Handbook of Artificial Intelligence: GLOBAL PERSPECTIVES ON LAW AND ETHICS","2022","The Cambridge Handbook of Artificial Intelligence: Global Perspectives on Law and Ethics","24","10.1017/9781009072168","https://www.scopus.com/pages/publications/105025514372?origin=resultslist","Warrington College of Business, Levin College of Law, University of Florida, United States; Department of the University of Turin, Italy; Lyon Catholic University, France","Dimatteo L.A., Warrington College of Business, Levin College of Law, University of Florida, United States; Poncibò C., Department of the University of Turin, Italy; Cannarsa M., Lyon Catholic University, France","The technology and application of artificial intelligence (AI) throughout society continues to grow at unprecedented rates, which raises numerous legal questions that to date have been largely unexamined. Although AI now plays a role in almost all areas of society, the need for a better understanding of its impact, from legal and ethical perspectives, is pressing, and regulatory proposals are urgently needed. This book responds to these needs, identifying the issues raised by AI and providing practical recommendations for regulatory, technical, and theoretical frameworks aimed at making AI compatible with existing legal rules, principles, and democratic values. An international roster of authors including professors of specialized areas of law, technologists, and practitioners bring their expertise to the interdisciplinary nature of AI. © Cambridge University Press 2022.","","Ethical technology; Cambridge; Ethical perspectives; Global perspective; Legal questions; Practical recommendation; Pressung; Regulatory frameworks; Technical frameworks; Technologies and applications; Theoretical framework; Artificial intelligence","","","Cambridge University Press","Book","Scopus"
"Livingston S.; Miller M.","Livingston, Steven (35860515100); Miller, Michael (60118531500)","35860515100; 60118531500","Connective Action and the Rise of the Far-Right: Platforms, Politics, and the Crisis of Democracy","2025","Connective Action and the Rise of the Far-Right: Platforms, Politics, and the Crisis of Democracy","4","10.1093/oso/9780197794937.001.0001","https://www.scopus.com/pages/publications/105017344591?origin=resultslist","George Washington University (GW), Washington, DC, United States; The City College, NY, United States","Livingston S., George Washington University (GW), Washington, DC, United States; Miller M., The City College, NY, United States","This volume introduces a “connection action” framework for explaining democratic backsliding. We bring together a mostly political science comparativist literature on the role of institutions and organizations in democratic stability and decline with a political communication literature that emphasizes the role of digital technology, especially social media platforms. According to the political science institutionalist literature, political parties aligned with economic elites face what Ziblatt (2017) calls a “conservative dilemma,” especially during times of expanded suffrage and great wealth and income inequality. They must find ways to remain competitive in fair elections while preserving the status and privileges of their core constituency. They do so by emphasizing non-economic “cleavage issues” to mobilize a cross-class coalition. Cleavage issues are hot-button cultural concerns that prime elections on non-economic anxieties. Conservative parties are assisted in this effort by “surrogate organizations,” groups and organizations that are affiliated with but not an official part of a conservative party. An example would be the U.S. Republican party’s association with the National Rifle Association and various Evangelical organizations. While surrogate organizations can help mobilize winning coalitions by helping to promote cleavage issues, they also pose a threat to their allied party. Should a surrogate organization become too powerful and too extreme in their positions, they can pull the party into illiberalism. Drawing on Bennett and Segerberg’s “connective action” model (2013), we argue that a new threat to democratic stability is present in “digital surrogate organizations.” Routinized forms of online communication, such as Facebook groups, subreddits, and hashtags, can be thought of as organizations. Hitherto scattered persons and ideas cohere and mobilize on these platforms in common purpose. Even possibly more than conventional organizations, digital surrogate organizations constitute a clear threat to the ideological coherence of a conservative party, as several of the contributors to this volume note with #Qanon and #StoptheSteal and the Republican party. © Oxford University Press 2025.","cleavage issues; cleavage issues; connective action; conservative dilemma; democratic backsliding; digital surrogate organizations; surrogate organizations","Social sciences computing; Cleavage issue; Connective action; Conservative dilemma; Conservative party; Democratic backsliding; Digital surrogate organization; Digital surrogates; Political science; Surrogate organization; Social networking (online)","","","Oxford University Press","Book","Scopus"
"Grabher G.","Grabher, Gernot (6603661563)","6603661563","The Disruption Delusion: Machines, Networks, and the Platformization of Industrial Production","2025","Sociologica","2","10.6092/issn.1971-8853/21110","https://www.scopus.com/pages/publications/105007189657?origin=resultslist","Urban and Regional Economics, HafenCity University, Hamburg, Germany","Grabher G., Urban and Regional Economics, HafenCity University, Hamburg, Germany","“Disruption!” — eulogized the business literature and heralded yet another epochal shift in capitalist development: the relational governance that had given shape to the network society was dethroned by a novel mode of algorithmic governance that ushered in the new phase of platform capitalism. These sweeping generalizations, however, stand in stark contrast to the selectivity of the research on which these claims are based. Celebrating Uber and Airbnb as standard bearers of this new epoch, pertinent research primarily focused on the consumer- and communication-based internet — at least, so far. This paper seeks to contribute to the ever-growing body of research that accumulates compelling evidence for the distinctive realities of platforms in the realm of production. Rather than by a new breed of digital-native disruptors (that rapidly scale to monopolists), the development of platforms in the industrial realm is driven by incumbent manufacturing oligopolists. By engaging with the key tenets of consumer platform research (asset-light business model; network effects; frictionless scalability; algorithmic governance), the transformation of John Deere (the leading manufacturer of agricultural equipment) shall reveal this: instead of a categorical shift to a sharply delineated novel form, the trajectory from the provider of stand-alone physical products to the orchestrator of a digital-physical ecosystem amounts to a messy and tenacious process of variation and hybridization. Copyright © 2025 Gernot Grabher.","Ag tech; Industrial platforms; John Deere; Precision agriculture","","Columbia University, CUINY","Earlier versions of this paper have been presented at the 6th Global Conference in Economic Geography (Dublin, June 9th, 2022), the 20th SCANCOR PhD Workshop on Institutional Analysis (Hamburg, August 28th, 2024) and the 25th Anniversary of the Center on Organizational Innovation at Columbia University (New York, November 9th, 2024). I am grateful to the participants in these workshops for providing helpful feedback, and would like to extend particular thanks to Ivana Pais, David Stark, Joachim Thiel and Erwin van Tuijl for commenting on earlier versions.","University of Bologna","Article","Scopus"
"Christensen H.; Hickman M.; Edmunds W.J.; Trotter C.L.","Christensen, Hannah (15021958700); Hickman, Matthew (7101974395); Edmunds, W. John (7006629172); Trotter, Caroline L. (7005753490)","15021958700; 7101974395; 7006629172; 7005753490","Introducing vaccination against serogroup B meningococcal disease: An economic and mathematical modelling study of potential impact","2013","Vaccine","123","10.1016/j.vaccine.2013.03.034","https://www.scopus.com/pages/publications/84878376494?origin=resultslist","School of Social and Community Medicine, University of Bristol, Bristol, United Kingdom; London School of Hygiene and Tropical Medicine, London, United Kingdom; Department of Veterinary Medicine, University of Cambridge, Cambridge, CB3 0ES, Madingley Road, United Kingdom","Christensen H., School of Social and Community Medicine, University of Bristol, Bristol, United Kingdom; Hickman M., School of Social and Community Medicine, University of Bristol, Bristol, United Kingdom; Edmunds W.J., London School of Hygiene and Tropical Medicine, London, United Kingdom; Trotter C.L., School of Social and Community Medicine, University of Bristol, Bristol, United Kingdom, Department of Veterinary Medicine, University of Cambridge, Cambridge, CB3 0ES, Madingley Road, United Kingdom","Background: Meningococcal disease remains an important cause of morbidity and mortality worldwide. The first broadly effective vaccine against group B disease (which causes considerable meningococcal disease in Europe, the Americas and Australasia) was licensed in the EU in January 2013; our objective was to estimate the potential impact of introducing such a vaccine in England. Methods: We developed two models to estimate the impact of introducing a new 'MenB' vaccine. The cohort model assumes the vaccine protects against disease only; the transmission dynamic model also allows the vaccine to protect against carriage (accounting for herd effects). We used these, and economic models, to estimate the case reduction and cost-effectiveness of a number of different vaccine strategies. Results: We estimate 27% of meningococcal disease cases could be prevented over the lifetime of an English birth cohort by vaccinating infants at 2,3,4 and 12 months of age with a vaccine that prevents disease only; this strategy could be cost-effective at £9 per vaccine dose. Substantial reductions in disease (71%) can be produced after 10 years by routinely vaccinating infants in combination with a large-scale catch-up campaign, using a vaccine which protects against carriage as well as disease; this could be cost-effective at £17 per vaccine dose. Conclusions: New 'MenB' vaccines could substantially reduce disease in England and be cost-effective if competitively priced, particularly if the vaccines can prevent carriage as well as disease. These results are relevant to other countries, with a similar epidemiology to England, considering the introduction of a new 'MenB' vaccine. © 2013 Elsevier Ltd.","Cost-effectiveness; Meningococcal; Model; Vaccine","Adolescent; Cohort Studies; Cost-Benefit Analysis; Humans; Infant; Male; Markov Chains; Meningococcal Infections; Meningococcal Vaccines; Models, Economic; Models, Statistical; Neisseria meningitidis, Serogroup B; Vaccination; Vaccines, Conjugate; Meningococcus vaccine; article; cost effectiveness analysis; herd immunity; human; infant; infection prevention; meningococcosis; newborn; priority journal; United Kingdom; vaccination","National Institute for Health Research, NIHR, (PDA/02/06/088, RDA/03/07/014)","We would like to thank the following individuals for providing information and assistance: Mary Ramsay, Ray Borrow and Dianne Webb, Health Protection Agency; Andrew Clark, London School of Hygiene and Tropical Medicine; Davidson Ho, Roy Maxwell, Laura Clark and Charlotte Chamberlain, University of Bristol; and Nigel Henretty and Megan Elkin, Office for National Statistics. The HES data were made available by the NHS Health and Social Care Information Centre. Funding: This work was supported by the National Institute for Health Research [ RDA/03/07/014 and PDF-2012-05-245 to HC, PDA/02/06/088 to CT]. This work is produced by the authors under the terms of these research training fellowships issued by the NIHR. The views expressed in this publication are those of the authors and not necessarily those of the NHS, The National Institute for Health Research or the Department of Health. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. Conflicts of interest: All authors: No reported conflicts. ","","Article","Scopus"
"Neuhoff K.; Barquin J.; Bialek J.W.; Boyd R.; Dent C.J.; Echavarren F.; Grau T.; von Hirschhausen C.; Hobbs B.F.; Kunz F.; Nabe C.; Papaefthymiou G.; Weber C.; Weigt H.","Neuhoff, Karsten (8508045400); Barquin, Julian (24079790400); Bialek, Janusz W. (7005917373); Boyd, Rodney (57198659291); Dent, Chris J. (26667665800); Echavarren, Francisco (9636608200); Grau, Thilo (55240485700); von Hirschhausen, Christian (23089519700); Hobbs, Benjamin F. (57203214200); Kunz, Friedrich (55880879300); Nabe, Christian (24479959200); Papaefthymiou, Georgios (9839870200); Weber, Christoph (12780039300); Weigt, Hannes (23973738300)","8508045400; 24079790400; 7005917373; 57198659291; 26667665800; 9636608200; 55240485700; 23089519700; 57203214200; 55880879300; 24479959200; 9839870200; 12780039300; 23973738300","Renewable electric energy integration: Quantifying the value of design of markets for international transmission capacity","2013","Energy Economics","106","10.1016/j.eneco.2013.09.004","https://www.scopus.com/pages/publications/84885444719?origin=resultslist","DIW Berlin, Germany; Universidad Pontificia Comillas, Madrid, Spain; Durham University, United Kingdom; Technische Universität Berlin, Germany; Environment, Energy, Sustainability and Health Institute, The Johns Hopkins University, USA and Electricity Policy Research Group, Cambridge University, United Kingdom; Ecofys Germany GmbH, Germany; Universität Duisburg-Essen, Germany; University of Basel, Switzerland","Neuhoff K., DIW Berlin, Germany; Barquin J., Universidad Pontificia Comillas, Madrid, Spain; Bialek J.W., Durham University, United Kingdom; Boyd R., DIW Berlin, Germany; Dent C.J., Durham University, United Kingdom; Echavarren F., Universidad Pontificia Comillas, Madrid, Spain; Grau T., DIW Berlin, Germany; von Hirschhausen C., DIW Berlin, Germany, Technische Universität Berlin, Germany; Hobbs B.F., Environment, Energy, Sustainability and Health Institute, The Johns Hopkins University, USA and Electricity Policy Research Group, Cambridge University, United Kingdom; Kunz F., DIW Berlin, Germany; Nabe C., Ecofys Germany GmbH, Germany; Papaefthymiou G., Ecofys Germany GmbH, Germany; Weber C., Universität Duisburg-Essen, Germany; Weigt H., University of Basel, Switzerland","Integrating large quantities of variable renewable electricity generation remains a political and operational challenge. One of the main obstacles in Europe to installing at least 200 GWs of power from variable renewable sources is how to deal with the insufficient network capacity and the congestion that will result from new flow patterns. We model the current methodology for controlling congestion at international borders and compare its results, under varying penetrations of wind power, with models that simulate an integrated European network using nodal/localised marginal pricing. The nodal pricing simulations illustrate that congestion and price patterns vary considerably between wind scenarios and within countries, and that a nodal price regime could make better use of existing network capacity, introducing substantial operational cost savings and reducing marginal power prices in the majority of European countries. © 2013 Elsevier B.V.","Congestion management; Power market design; Renewable power integration; Transmission economics","Europe; Commerce; Computer simulation; Economics; Wind power; Congestion management; European Countries; International border; Operational challenges; Power markets; Renewable electricity; Renewable Power; Transmission capacities; alternative energy; electricity generation; energy market; price dynamics; renewable resource; wind power; Costs","Climate Policy Initiative; EU Intelligent Energy Europe; RWE; Supergen Flexnet Consortium, (EP/E04011X/1); National Science Foundation, NSF; Division of Emerging Frontiers in Research and Innovation, EFRI, (0835879, ECCS 1230788, OISE 1243482); Division of Emerging Frontiers in Research and Innovation, EFRI; Engineering and Physical Sciences Research Council, EPSRC","This paper is an output of the Re-shaping project, which was supported by the “EU Intelligent Energy Europe” programme. Further support was obtained from Climate Policy Initiative , the RWE research fellowship (F. Kunz). B. F. Hobbs was partially supported by the UK Engineering and Physical Sciences Research Council through the Supergen Flexnet Consortium ( EP/E04011X/1 ) and by the US National Science Foundation (EFRI 0835879 , OISE 1243482 , and ECCS 1230788 ). The research of F. Kunz and H. Weigt was carried out at Technische Universität Dresden. We would also like to thank ENTSO-E for the provision of the raw network dataset. ","","Article","Scopus"
