"Link","Affiliations","Publisher","Abbreviated Source Title"
"https://www.scopus.com/pages/publications/105031627095?origin=resultslist","King Abdullah University of Science and Technology (KAUST), Computer, Electrical and Mathematical Sciences and Engineering (CEMSE) Division, Thuwal, 23955, Saudi Arabia; University of Warwick, School of Engineering, Coventry, CV4 7AL, United Kingdom; National Grid Partners, London, WC2N 5EH, United Kingdom","Institute of Electrical and Electronics Engineers Inc.","IEEE Trans. Smart Grid"
"https://www.scopus.com/pages/publications/105046788272?origin=resultslist","Dongbei University of Finance and Economics, Dalian, 116025, China; Meizhou Power Supply Bureau of Guangdong Power Grid Co., Ltd., Guangdong, Meizhou, 514000, China","River Publishers","Distrib. Gener. Altern. Energy J."
"https://www.scopus.com/pages/publications/105024774369?origin=resultslist","Computer Science Department, School of Computer Science, Bina Nusantara University, Jln. Raya Kebon Jeruk, Jakarta, 11480, Indonesia; Department of Statistics, Faculty of Science and Data Analytics, Institut Teknologi Sepuluh Nopember, Jln. Raya ITS, Surabaya, 60111, Indonesia","Universitas Pattimura","Barekeng"
"https://www.scopus.com/pages/publications/105045169981?origin=resultslist","Key Laboratory of Metallurgical Equipment and Control Technology, Ministry of Education, Wuhan University of Science and Technology, Wuhan, 430081, China; Hubei Key Laboratory of Mechanical Transmission and Manufacturing Engineering, Wuhan University of Science and Technology, Wuhan, 430081, China; School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China; Equipment Management Department of Wuhan Iron and Steel Company Limited, Wuhan, 430083, China; Digital Twin International Research Center, International Research Institute for Multidisciplinary Sciences, Beihang University, Beijing, 100191, China","Elsevier Ltd","J. Clean. Prod."
"https://www.scopus.com/pages/publications/105048838804?origin=resultslist","School of Mechanical and Electrical Engineering, University of Electronic Science and Technology of China, Chengdu, 611731, China","Elsevier Ltd","Renewable Sustainable Energy Rev"
"https://www.scopus.com/pages/publications/105047645105?origin=resultslist","Iowa State University, Department of Electrical and Computer Engineering, Ames, IA, United States","Nature Research","Nat. Commun."
"https://www.scopus.com/pages/publications/105049056183?origin=resultslist","Southeast University, Electrical Engineering Department, Nanjing, 210096, China; State Grid Beijing Electric Power Research Institute, Beijing, 100075, China; China Datang Corporation Technology Innovation Co., Ltd., Baoding, 071700, China; University of Missouri, Department of Electrical Engineering and Computer Science, Columbia, 65211, MO, United States","Institute of Electrical and Electronics Engineers Inc.","Prot. Cont. Mod. Power Sys."
"https://www.scopus.com/pages/publications/105042074412?origin=resultslist","Leopoldo Américo Miguez de Mello Research and Development Center (CENPES), Avenida Horácio Macedo, Cidade Universitária, 950, Ilha do Fundão, RJ, Rio de Janeiro, 21941-915, Brazil; National Institute of Metrology, Quality and Technology (INMETRO), Av. Nossa Senhora das Graças, 50, Xerém, RJ, Duque de Caxias, 25250-020, Brazil; Fluminense Federal University, Institute of Chemistry, Outeiro de São João Batista, s/n° - Campus do Valonguinho – Centro, RJ, Niterói, 24020-141, Brazil; Federal University of Espirito Santo, Research Group for Studies on Flow and Measurements of Oil and Gas (NEMOG), Av Fernando Ferrari, 514 Campus Universitário de Goiabeiras, ES, Vitória, Brazil","Elsevier Ltd","Flow. Meas. Instrum."
"https://www.scopus.com/pages/publications/105042369356?origin=resultslist","School of Mechanical and Aerospace Engineering, National Key Laboratory of Automotive Chassis Integration and Bionics, Jilin Univ., Changchun, 130025, China; School of Mechanical and Aerospace Engineering, National Key Laboratory of Automotive Chassis Integration and Bionics, Jilin Univ., Changchun, 130025, China; School of Information and Control Engineering, China Univ. of Mining and Technology, Xuzhou, 221100, China; School of Mechanical and Vehicle Engineering, Changchun Univ., Changchun, 130022, China; Shenyang Branch, China General Technology (Group) Machine Tool Engineering Research Institute Co., Ltd., Shenyang, 110142, China; School of Mechanical and Vehicle Engineering, Changchun Univ., Changchun, 130022, China","American Society of Civil Engineers (ASCE)","J Constr Eng Manage"
"https://www.scopus.com/pages/publications/105046013745?origin=resultslist","Department of Electrical Engineering, Universidad de Zaragoza, C/María de Luna 3, Zaragoza, 50018, Spain","Elsevier Ltd","Sustain. Energy Grids Netw."
