"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","Link"
"Gao Y.; Lakshminarayana S.; Avramidis I.-I.; Konstantinou C.","Gao, Yang (60430810000); Lakshminarayana, Subhash (56432680900); Avramidis, Iason-Iraklis (57204075533); Konstantinou, Charalambos (56227008600)","60430810000; 56432680900; 57204075533; 56227008600","Modeling and Impact Assessment of Load-Altering Attacks in TSO-DSO Coordinated Power Systems","2026","IEEE Transactions on Smart Grid","0","https://www.scopus.com/pages/publications/105031627095?origin=resultslist"
"Lin L.; Li J.","Lin, Lehui (60780809700); Li, Jifang (60780622900)","60780809700; 60780622900","Optimisation of Emergency Power Restoration in Distribution Networks with Distributed Generation Integration","2026","Distributed Generation and Alternative Energy Journal","0","https://www.scopus.com/pages/publications/105046788272?origin=resultslist"
"Saputra W.H.; Aqsari H.W.","Saputra, Wisnowan Hendy (57929891900); Aqsari, Hasri Wiji (58148639500)","57929891900; 58148639500","MODIFIED STATISTICAL-BASED VALUE AT RISK FOR MULTI-OBJECTIVE OPTIMAL-BASED PORTFOLIO ANALYSIS OF INDONESIAN STOCK RETURN DISTRIBUTION","2026","Barekeng","0","https://www.scopus.com/pages/publications/105024774369?origin=resultslist"
"Xiang F.; Liu L.; Zhang Y.; Zhang J.; Tao F.","Xiang, Feng (54394392500); Liu, Lichang (60630870100); Zhang, Yongping (57195409355); Zhang, Jun (60741956800); Tao, Fei (12141248300)","54394392500; 60630870100; 57195409355; 60741956800; 12141248300","Digital-twin driven thermo-mechanical coupled modeling for temperature-prediction in reheating furnaces","2026","Journal of Cleaner Production","0","https://www.scopus.com/pages/publications/105045169981?origin=resultslist"
"Han Y.; Zhou M.; Ge J.; Li Q.; Wang C.","Han, Yang (55489195700); Zhou, Meng (58963539400); Ge, Jiwei (59174035000); Li, Qirui (58001332100); Wang, Congling (18937728000)","55489195700; 58963539400; 59174035000; 58001332100; 18937728000","Transient stability analysis of grid-forming converters: A comprehensive review","2027","Renewable and Sustainable Energy Reviews","0","https://www.scopus.com/pages/publications/105048838804?origin=resultslist"
"Shi W.; Bai C.; Wang Z.","Shi, Wenlong (57222083422); Bai, Cong (57856513700); Wang, Zhaoyu (54380891900)","57222083422; 57856513700; 54380891900","Power distribution system blackstart restoration using renewable energy","2026","Nature Communications ","0","https://www.scopus.com/pages/publications/105047645105?origin=resultslist"
"Liu Z.; Li Y.; Chen Z.; Xu Y.; Gu W.; Shi C.; Lu S.; Korkali M.","Liu, Zongwei (60822553800); Li, Yibo (59646648800); Chen, Zexi (57217994087); Xu, Yijun (57203431963); Gu, Wei (57202086636); Shi, Changli (55646877400); Lu, Shuai (57190749733); Korkali, Mert (35218829600)","60822553800; 59646648800; 57217994087; 57203431963; 57202086636; 55646877400; 57190749733; 35218829600","Efficient Global Sensitivity Analysis for Carbon Flow in Hybrid AC-DC Power Systems","2026","Protection and Control of Modern Power Systems","0","https://www.scopus.com/pages/publications/105049056183?origin=resultslist"
"Pereira L.O.V.; Farias M.H.; Rocha W.F.D.C.; Franco L.G.; Ramos R.","Pereira, Luiz Octavio Vieira (56982378100); Farias, Maria Helena (26434657000); Rocha, Werickson Fortunato de Carvalho (36341135800); Franco, Ligia Gaigher (60658374900); Ramos, Rogério (57197964630)","56982378100; 26434657000; 36341135800; 60658374900; 57197964630","Machine learning-based prediction of gas and liquid flow rates in wet gas using single and dual cone meter configurations","2026","Flow Measurement and Instrumentation","0","https://www.scopus.com/pages/publications/105042074412?origin=resultslist"
"Ju J.; Liu X.; Xu F.; Cao B.; Chen W.; Wang X.; Tian G.","Ju, Jianyang (60700241400); Liu, Xinhui (60632206200); Xu, Feixiang (57200967364); Cao, Bingwei (57200970686); Chen, Wei (59846954000); Wang, Xiaorui (60700636900); Tian, Guangliang (59949992700)","60700241400; 60632206200; 57200967364; 57200970686; 59846954000; 60700636900; 59949992700","Operational Phase Recognition and Power Matching under Shoveling Conditions in an Autonomous Loading Mobile Concrete Mixer","2026","Journal of Construction Engineering and Management","0","https://www.scopus.com/pages/publications/105042369356?origin=resultslist"
"Bernal-Agustín J.L.; Lujano-Rojas J.M.; Artal-Sevil J.S.; Dufo-López R.","Bernal-Agustín, José L. (6507310480); Lujano-Rojas, Juan M. (46061343200); Artal-Sevil, Jesús S. (60027339600); Dufo-López, Rodolfo (8435781300)","6507310480; 46061343200; 60027339600; 8435781300","Probabilistic assessment of renewable hosting capacity under dynamic line rating in medium-voltage distribution networks","2026","Sustainable Energy, Grids and Networks","1","https://www.scopus.com/pages/publications/105046013745?origin=resultslist"
