"document_id","processed_text"
1,"intersect multilay grid oper emerg cyberphys threat lie critic challeng ensur secur resili coordin transmiss system oper tsos distribut system oper dsos exist studi focus oper tsodso interact increas deploy iotcontrol load rais concern cyber vulner paper present unifi model framework evalu impact loadalt attack laa within acac coordin tsodso environ laa strategi develop origin distribut level propag upward tsodso coordin bottomup propag reveal system interdepend vulner across grid layer captur rang attack capabl model repres adversari blackbox whitebox greybox reflect differ level system observ access aim disrupt grid oper exploit market dynam increas profit control distribut resourc consid heterogen local resourc contractu arrang improv realism marketbas coordin framework case studi demonstr laa disrupt locat margin price flow distribut energi resourc oper result reveal system vulner coordin cyberphys threat expos hidden weak grid coordin mechan © ieee"
2,"integr distribut generat dg photovolta wind system distribut network signific alter pattern oper characterist introduc stochast uncertainti voltag loss behavior higherord semiinvari cumul yield greater accuraci comput effici tradit mont carlo simul therefor can employ prefer reliabl method perform effect stochast analysi complex system meanwhil wire error user side neutraltoearth misconnect compromis residu current devic rcd protect elev electr shock risk feeder cluster via cfsfdp algorithm integr stochast loss model framework identifi user group isol faulti user provid cohes methodolog approach practic distribut network analysi analysi perform wire error hazard mechan associ ground scheme’ perform rcds examin stochast line loss distribut model util higherord cumul distribut evalu voltag loss statist distribut cumul distribut methodolog shown order magnitud less comput time mont carlo simul equival perform accuraci user group algorithm develop studi cfsfdp requir specif input cluster creat group fault local accomplish adapt lassotyp model method develop valid algorithm use studi ieee bus network shown accur effici © river publish"
3,"basic stock invest aim obtain maximum profit low risk format stock invest portfolio alway accompani measur return risk show perform portfolio risk measur often face challeng return normal distribut measur use normal assumpt appli studi propos develop modif stock portfolio risk measur limit normal assumpt develop carri modifi calcul valu risk var consid skew kurtosi valu hereinaft refer modifi var normal distribut assumpt can elimin method compil stock portfolio multiobject techniqu chosen can modifi risk avers risk can adjust risk profil investor abl stabil mean return valu implement paper use real stock data cours return normal distribut name four indonesian stock base largest capit record januari blue chip name bren bbca byan bbri obtain financeyahoocom analysi method divid three step includ multiobject complet portfolio return calcul final modifi var estim result studi show bbca largest weight portion four stock bbca will prioriti stock portfolio portfolio form use multiobject proven stabl mean return portfolio mean return sever constitu stock vice versa around smallest estim valu portfolio modifi var thus portfolio base multiobject abl creat portfolio provid small risk risk measur without assum normal distribut time multiobject also abl provid competit return constitu stock © author"
4,"accur furnaceroof temperatur predict critic energyeffici reheatingfurnac oper refractori safeti assess cleaner product howev nonlinear radiation–conduction–convect coupl multilay refractori interfac heterogen boundari condit realtim infer requir remain difficult reconcil use convent numer pure datadriven model studi propos multidimension digitaltwin framework thermomechan coupl model walkingbeam reheat furnac framework coupl geometr thermal stress surrog model applicationspecif general physicsinform neural network gpinn gpinn integr finiteel shapefunctionbas deriv evalu nodal degreeoffreedom assign prescrib dirichlet boundari gaussianquadraturebas energyfunct loss within unifi furnaceroof model pipelin synchron quasisteadi valid fix train model independ map timeindex boundarycondit vector correspond temperatur field without onlin retrain heat zone ii gpinn achiev mae – °c r – reduc rmse approxim – relat steadyst fem refer full framework obtain mean mae °c satisfi prescrib dirichlet boundari exact complet endtoend temperatur predict gradient evalu stress comput von mise postprocess within ms femreferenc stress assess indic oper stress remain mpa structur activ region firstord heatloss sensit analysi suggest – uncertaintybound potenti reduct redund heat loss result support realtim quasisteadi furnaceroof temperatur predict stress assess cleaneroper decis support transient thermal inertia remain outsid present valid scope © elsevi ltd"
5,"renew energi penetr continu increas system transit toward lowinertia oper gridform convert gfmcs emerg critic enabl technolog futur system abil activ establish grid voltag frequenc howev larg disturb nonlinear control interact limit overcurr capabl may substanti alter synchron dynam make transient stabil major concern result instabl may manifest loss synchron sustain frequenc oscil therebi pose systemlevel oper risk paper provid systemat review transient dynam stabil mechan gfmcs larg disturb four interrel perspect first transient synchron characterist instabl mechan assess method gfmcs analyz second control stabil criteria singlemachin infinitebus smib scenario explor third review extend analysi multiconvert parallel system particular emphasi complex coupl synchron dynam relat powerangl interact final control strategi enhanc transient stabil currentlimit condit summar systemat compar powerangl characterist transient respons stabil boundari associ differ control method review clarifi key mechan govern transient stabil gfmcs identifi major technic challeng provid theoret guidanc control design controlprotect coordin system plan futur converterdomin system © elsevi ltd"
6,"largescal blackout continu expos fragil tradit topdown restor end user remain deenerg bulk generat transmiss recov rapid growth inverterbas distribut energi resourc der creat credibl altern bottomup blackstart gridform resourc connect distribut system establish local voltag frequenc refer energ island progress extend merg synchron condit satisfi howev feasibl grid edg govern less instal capac deliver invert headroom current appar limit lowinertia frequenc dynam cold load pickup transient protect admiss imperfect situat awar topolog chang review synthes oper foundat defin bottomup blackstart secur envelop organ literatur multistep closedloop decis workflow cooptim switch stepwis load pickup der dispatch decis renew variabl survey uncertaintyawar formul informationadapt roll horizon recours perspect learningassist surrog acceler screen combinatori search preserv physic feasibl guarante final connect standard pathway practic valid need highlight open gap dynam admiss model protect observ realtim decis support requir reliabl scalabl autonom bottomup blackstart © author"
7,"although carbon power tool assign emiss respons consum explor hybrid acdc system paper present novel probabilist carbonflow model quantifi distribut carbon intens system character import uncertain input renew energi load probabilist carbon global sensit analysi gsa strategi introduc allevi comput burden tradit mont carlo method quantifi metric incorpor adapt polynomi chao expans pcebas surrog model signific reduc comput burden maintain high statist accuraci simul valid propos carbon model hybrid acdc system reveal excel perform pcebas gsa method © system protect control press"
8,"accur measur wet gas remain persist challeng oil gas industri convent differenti pressur meter affect liquidinduc overreadingthi studi investig predict perform model wet gas meter use data acquir cone differenti pressur meter singl dualcon configur laboratori experi air–wat mixtur gas volum fraction gvf ≈ – conduct develop evalu linear model partial least squar – pls nonlinear model support vector regress – svr ten test case design vari instrument setup input featur combin addit convent differenti pressur dpt downstream measur incorpor captur perman pressur loss dpl pressur recoveri dpr enabl enhanc character dynam result show svr consist outperform pls across configur achiev coeffici determin r approxim gas liquid rate case mean absolut percentag error mape gas liquid predict contrast pls perform deterior mark simplifi configur r valu drop gas liquid use dualcon configur addit pressur measur prove critic reduc liquid predict error compar convent singlecon setup featur import analysi highlight dpr dpt p influenti featur particular nonlinear model taken togeth find indic svr combin enhanc instrument provid robust accur costeffect altern wet gas measur overcom limit linear model tradit empir correct © publish elsevi ltd"
9,"repres work condit loadingtyp construct machineri shovel oper character high variabl oper demand rapid chang load signific complic match across differ phase process studi propos match strategi base phasespecif recognit dynam torqu regul ground identif shovel stage autom load mobil concret mixer analysi load characterist shovel condit distinct phase shovel process correl system pressur featur intellig recognit model establish use bidirect long shortterm memori neural network algorithm analyz engin perform fuel economi effici variabl displac pump constrain multiobject equat formul balanc dynam perform energi effici autom load mobil concret mixer approach reduc absolut torqu deviat across differ oper stage within nm peak fuel consumpt decreas gs propos strategi effect address mismatch demand across vari oper phase simultan reduc overal system energi consumpt © american societi civil engin"
10,"paper present probabilist framework assess dynam line rate affect renew host capac mediumvoltag distribut network correl meteorolog uncertainti method combin copulabas weather model probabilist conductor thermal model riskconstrain distribut energi resourc plan unifi workflow framework appli cigr mediumvoltag benchmark climat condit zaragoza dynam line rate remov thermal risk observ feeder static thermal rate oneperc annualaverag thermalviol fraction increas riskconstrain host capac mw mw fullnetwork analysi show recov thermal margin must still check voltag limit conserv optimisersid guard band use enforc fiveperc limit overvoltag per unit reduc maximum report distribut energi resourc portfolio capac mw mw includ mw fix background distribut generat thus dynam line rate can great increas host capac bind constraint shift thermal load voltag high distribut energi resourc penetr © author"
